-ial_UNDEFINED	-Iya
A-level_noun	ucca_swarIya
Antarctic_adjective	xakRiNaXruvIya
Atlantic_adjective	etalANtikIya
British_adjective	britena_kA/Afgla_xeSIya
European_adjective	yuropIya/yUropIya
Europeaner_UNDEFINED	yuropIya
Europeanest_UNDEFINED	yuropIya
Europeans_UNDEFINED	yuropIya
Highland_adjective	skoYtalENda_kA_parvawIya
Hindu_noun	hinx/BArawIya
Indianer_UNDEFINED	BArawIya
Indianest_UNDEFINED	BArawIya
Indians_UNDEFINED	BArawIya
Indo-European_adjective	BArawa-yUropIya
Indo_UNDEFINED	BArawIya
Mediterranean_UNDEFINED	BUmaXIya
Mediterranean_adjective	BUmaXyasAgarIya
Metro_adjective	mahAnagarIya
Ottoman_adjective	usmAna_rAjavaMSIya
Pacific_adjective	praSAnwa_mahAsAgara/praSAnwa_mahAsAgarIya
SE_adjective	xakRiNa-pUrvIya
Soviet_adjective	soviyawa_safGIya
Stygian_adjective	stiksa_jEsA/nArakIya
U_adjective	uccavargIya
abactinal_adjective	pqRTIya
abbatial_adjective	maTIya/maTAXyakRIya
ablative_adjective	apAxAnI/apAxAna_sambanXI/apakRaraNIya
accessible_adjective	aBigamya/upalabXa/sulaBa/sugamya/prApya/gamya/gamanIya
accusatorial_adjective	aBiyojakIya
acellular_adjective	akoSikIya
acid_adjective	wikwa/wejAbI/vyafgyAwmaka/katu/KattA/amlIya
acidulent_adjective	KattA/amlIya
acrobatic_adjective	natIya
acrobaticer_UNDEFINED	natIya
acrobaticest_UNDEFINED	natIya
acyclic_UNDEFINED	acakrIya
adagioer_UNDEFINED	XIre-XIre_evaM_SoBanIya
adagioest_UNDEFINED	XIre-XIre_evaM_SoBanIya
adaptive_adjective	anukUlI/anukUlanIya
adjectivaler_UNDEFINED	viSeRaNIya
adjectivalest_UNDEFINED	viSeRaNIya
adjustable_adjective	samAyojya/samaFjanIya
admirabler_UNDEFINED	praSaMsanIya
admirablest_UNDEFINED	praSaMsanIya
adulatory_adjective	cApalUsIpUrNa/cAtukIya
aerially_UNDEFINED	AkASIya
aerodynamic_adjective	vAyugawikIya
algal_adjective	SEvAla_yukwa/SEvAlIya
algebraic_adjective	bIjagaNiwIya
alkaliner_UNDEFINED	kRArIya
alkalinest_UNDEFINED	kRArIya
alphanumeric_UNDEFINED	akRarAfkIya
alpine_adjective	yUropa_kA_parvawIya_kRewra/ucca_parvawa_SiKarIya
alveolar_adjective	varwsya/kUpikIya
amphibious_adjective	jala_waWA_sWala_para_calane_yogya/uBayacara/jalasWalIya
analog_adjective	reKIya
analogue_adjective	reKIya
analyzable_adjective	viSleRaNIya
angelical_adjective	xivya/xevaxUwIya
anthropoligical_adjective	mAnava-vEjFAnIya
anthropological_adjective	mAnavaSAsawrIya
anthropologicaler_UNDEFINED	mAnavaSAsawrIya
anthropologicalest_UNDEFINED	mAnavaSAsawrIya
anti-nuclear_adjective	prawinABikIya
antinuclear_adjective	prawinABikIya
appealable_adjective	punarAvexanIya
applaudable_adjective	sarAhanIya/praSaMsanIya
aquatic_adjective	jalacara/jalIya
aqueous_adjective	jalIya
aqueouser_UNDEFINED	jalIya
aqueousest_UNDEFINED	jalIya
aquiliner_UNDEFINED	garUdIya
aquilinest_UNDEFINED	garUdIya
archetypal_adjective	AXArarUpIya/AxyaprarUpIya
archetypaler_UNDEFINED	AXArarUpIya
archetypalest_UNDEFINED	AXArarUpIya
archetypical_UNDEFINED	AXArarUpIya
archetypicaler_UNDEFINED	AXArarUpIya
archetypicalest_UNDEFINED	AXArarUpIya
architectural_adjective	vAswukalA_sambaXI/vAswuSilpIya
arithmetic_adjective	afkagaNiwIya
arithmetical_adjective	afkagaNiwIya
arterial_adjective	muKya_mArgIya/XamanIya
assailable_adjective	arakRaNIya
asthmaticer_UNDEFINED	SvAsarogIya
asthmaticest_UNDEFINED	SvAsarogIya
asthmatics_UNDEFINED	SvAsarogIya
astrologicaler_UNDEFINED	jyowiRIya
astrologicalest_UNDEFINED	jyowiRIya
attributable_adjective	sambanXa_lagAe_jAne_yogya/AropaNIya
authenticer_UNDEFINED	viSvasanIya
authenticest_UNDEFINED	viSvasanIya
authorial_adjective	leKakIya
bankable_UNDEFINED	viniyojanIya
bearable_adjective	sahanIya
