#administrative multi word dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)	#administrative multi word dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#	   4) If last word is not punctuation then treated last word as head 
#	      or else treated last but one word as head
#################################################################################	#################################################################################
a.c._mechanic	vAwAnukUla_dibbA_mekEnika/vAwAnukUlana_mekEnika#vAwAnukUla_dibbA_mekEnika/vAwAnukUlana_mekEnika#noun#2#RM
ab_initio	Axiwa:#Axiwa:#noun#2#RM
abide_by	pAlana_karanA#pAlana_karanA#noun#2#RM
able_seaman	yogya_nAvika/ebala_sImEna#yogya_nAvika/ebala_sImEna#noun#2#RM
abnormal_increase	apasAmAnya_vqfxXa#apasAmAnya_vqfxXa#noun#2#RM
aboriginal_welfare_officer_abstractor	AxivAsI_kalyANa_aXikArI_safkRepakAra#AxivAsI_kalyANa_aXikArI_safkRepakAra#noun#4#RM
above_cited	Upara_uxXqwa#Upara_uxXqwa#noun#2#RM
above_cited/above_quoted	upari_uxXqwa/Upara_xiyA_huA#upari_uxXqwa/Upara_xiyA_huA#noun#3#RM
above_given	upariliKiwa/Upara_xiyA_huA#upariliKiwa/Upara_xiyA_huA#noun#2#RM
above_mentioned	uparyukwa/uparyukwa#uparyukwa/uparyukwa#noun#2#RM
above_par	aXimUlya_para#aXimUlya_para#noun#2#RM
above_quoted	Upara_uxXqwa#Upara_uxXqwa#noun#2#RM
above_resolution_be_published_in_the_gazette	uparyukwa_safkalpa_BArawa_ke_rAjapawra_meM_prakASiwa_kiyA_jAe#uparyukwa_safkalpa_BArawa_ke_rAjapawra_meM_prakASiwa_kiyA_jAe#noun#7#RM
above_said	uparyukwa#uparyukwa#noun#2#RM
abridged_report	safkRipwa_riporta#safkRipwa_riporta#noun#2#RM
absentee_statement	anupasWiwi-vivaraNa#anupasWiwi-vivaraNa#noun#2#RM
absolute_monopoly	pUrNa_ekAXikAra#pUrNa_ekAXikAra#noun#2#RM
absolute_ownership	pUrNa_svAmiwva#pUrNa_svAmiwva#noun#2#RM
abstract_book	sAra-puswikA#sAra-puswikA#noun#2#RM
abstract_contingent	safkRipawa_Akafsmaka_vyaya_bila#safkRipawa_Akafsmaka_vyaya_bila#noun#2#RM
abstract_of_tender	nivixA_kA_sAra/teMdara_kA_sAra#nivixA_kA_sAra/teMdara_kA_sAra#noun#3#RM
abstract_sheet	sAra_pawraka#sAra_pawraka#noun#2#RM
abuse_of_power	Sakwi_kA_xurupayoga#Sakwi_kA_xurupayoga#noun#3#RM
abusive_language	gAlI_galOja#gAlI_galOja#noun#2#RM
academic_council	vixyA_pariRax#vixyA_pariRax#noun#2#RM
academic_discussion	SAswrIya_carcA#SAswrIya_carcA#noun#2#RM
academic_leave	akAxamika_CuttI#akAxamika_CuttI#noun#2#RM
academic_qualificat	SEkRaNika_ahawA/SEkRaNika_yogyawA#SEkRaNika_ahawA/SEkRaNika_yogyawA#noun#2#RM
academic_record	SEkRika_rikArda/SEkRika_afBaleKa#SEkRika_rikArda/SEkRika_afBaleKa#noun#2#RM
academic_session	SEkRaNika_sawra/SikRA-sawra#SEkRaNika_sawra/SikRA-sawra#noun#2#RM
academic_year	SikRA_varRa#SikRA_varRa#noun#2#RM
acceded_to	svIkAra_kiyA_gayA#svIkAra_kiyA_gayA#noun#2#RM
acceptance_is_awaited	svIkqwi_kI_prawIkRA_hE#svIkqwi_kI_prawIkRA_hE#noun#3#RM
acceptance_of_offic	paxa-svIkqwi#paxa-svIkqwi#noun#3#RM
acceptance_of_tende	nivixA_kI_svIkqwi/teMdara_kI_svIkqwi#nivixA_kI_svIkqwi/teMdara_kI_svIkqwi#noun#3#RM
accepted_for_payment	BugawAna_ke_lie_svIkqwa#BugawAna_ke_lie_svIkqwa#noun#3#RM
accessory_licence	anuRafgI_lAiseMsa#anuRafgI_lAiseMsa#noun#2#RM
accident_and_emergency_department	xuGatanA_Ora_ApAwa_viBAga#xuGatanA_Ora_ApAwa_viBAga#noun#4#RM
accidents_investigation_officer	xuGatanA_anveRaNa_aXikArI#xuGatanA_anveRaNa_aXikArI#noun#3#RM
accommodation_officer	AvAsa_aXikArI#AvAsa_aXikArI#noun#2#RM
accompanying_letter	sahapawra#sahapawra#noun#2#RM
accord_approval_to...=accord_sanction_to	kqpayA---ko_anumoxiwa_kare/kqpayA---_ko_maFjUra_kareM#kqpayA---ko_anumoxiwa_kare/kqpayA---_ko_maFjUra_kareM#noun#5#RM
according_to	ke_anusAra#ke_anusAra#noun#2#RM
according_to_convenience	suviXAnusAra#suviXAnusAra#noun#3#RM
account_book	leKA_bahI#leKA_bahI#noun#2#RM
account_circle	leKA_maNdala#leKA_maNdala#noun#2#RM
account_for	kAraNa_bawAnA/leKA-joKA_xenA#kAraNa_bawAnA/leKA-joKA_xenA#noun#2#RM
account_head	leKA-SIrRa#leKA-SIrRa#noun#2#RM
accountancy_business_statistics_department	leKA_evaM_vyavasAya_sAMfKyakI_viBAga#leKA_evaM_vyavasAya_sAMfKyakI_viBAga#noun#4#RM
accountant_general	mahAleKAkAra#mahAleKAkAra#noun#2#RM
accountant_member	leKAkAra_saxasya#leKAkAra_saxasya#noun#2#RM
accounting_policies	leKAkaraNa_nIwiyA#leKAkaraNa_nIwiyA#noun#2#RM
accounting_unit	leKAkaraNa_ikAI/leKA_mAwraka/leKA_ikAI_(jEse_rupayA/dAlara_Axi)#leKAkaraNa_ikAI/leKA_mAwraka/leKA_ikAI_(jEse_rupayA/dAlara_Axi)#noun#2#RM
accounts_clerk	leKA_lipika#leKA_lipika#noun#2#RM
accounts_general_section_(_a_&_g_)	leKA_va_sAmAnya_anuBAga_(e-_eMda_jI-)#leKA_va_sAmAnya_anuBAga_(e-_eMda_jI-)#noun#7#RM
accounts_officer	leKA_aXikArI#leKA_aXikArI#noun#2#RM
accredited_(_as_corr	prawyAyiwa#prawyAyiwa#noun#4#RM
accrual_basis	proxBavana_AXAra#proxBavana_AXAra#noun#2#RM
acknowledge_receipt	pAvawI_xeM/prApwi_sUcanA_BejeM#pAvawI_xeM/prApwi_sUcanA_BejeM#noun#2#RM
acknowledge_receipt_of_the_letter	pawra_kI_pAvawI_BejeM#pawra_kI_pAvawI_BejeM#noun#5#RM
acknowledgement_due	pAvawI_pawra/rasIxI#pAvawI_pawra/rasIxI#noun#2#RM
acknowledgement_has_already_been_sent	pAvawI_pahale_hI_BejI_jA_cukI_hE#pAvawI_pahale_hI_BejI_jA_cukI_hE#noun#5#RM
acquittance_roll	BugawAna_paFjI#BugawAna_paFjI#noun#2#RM
act_of_god	xEvI_GatanA/xEva_kqwya#xEvI_GatanA/xEva_kqwya#noun#3#RM
act_of_misconduct	kaxAcAra/kaxAcAra#kaxAcAra/kaxAcAra#noun#3#RM
act_of_omission_an	BUla-cUka#BUla-cUka#noun#4#RM
acting_(_as_in_`acti	kAryakArI#kAryakArI#noun#5#RM
acting_allowance	kAryakArI_BawwA#kAryakArI_BawwA#noun#2#RM
acting_in_good_faith	saxBAva_se_kArya_karawe_hue#saxBAva_se_kArya_karawe_hue#noun#4#RM
acting_in_official_capacity	paxa_kI_hEsiyawa_se_kArya_karawe_hue#paxa_kI_hEsiyawa_se_kArya_karawe_hue#noun#4#RM
acting_lance_daffadar	EtiMga_lAMsa_xaPAxAra#EtiMga_lAMsa_xaPAxAra#noun#3#RM
action_as_at_`a_'_above	Upara_ka_ke_anusAra_kAravAI_kI_jAe#Upara_ka_ke_anusAra_kAravAI_kI_jAe#noun#6#RM
action_at_once_please	kqpayA_POrana_kAravAI_kareM#kqpayA_POrana_kAravAI_kareM#noun#4#RM
action_committee	kAravAI_samiwi#kAravAI_samiwi#noun#2#RM
