#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt, Agri_Glossaryt.doc	#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt, Agri_Glossaryt.doc
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun#2#RM' by default	#          3) Added category as 'noun#2#RM' by default
#Added  :: By Roja Lakshmi (06-11-14)	#Added  :: By Roja Lakshmi (06-11-14)
#######################################	#######################################
aberrant_weather	asamAnya_mOsama#asamAnya_mOsama#noun#2#RM
abiotic_stress	ajEvika_xabAva#ajEvika_xabAva#noun#2#RM
aborted_seed	vikAsaroXiwa_bIja#vikAsaroXiwa_bIja#noun#2#RM
abscess_knife	PodA_cIrane_kA_cAkU#PodA_cIrane_kA_cAkU#noun#2#RM
absorption_loss	avaSoRaNa_hAni#avaSoRaNa_hAni#noun#2#RM
accelerated_erosion	wvariwa_aparaxana#wvariwa_aparaxana#noun#2#RM
accumulated_capital	saFciwa_pUzjI#saFciwa_pUzjI#noun#2#RM
accumulation_of_salt	lavaNa_saFcaya#lavaNa_saFcaya#noun#2#RM
acid_clay	amla_mqwwikA#amla_mqwwikA#noun#2#RM
acid_forming_fertiliser	amlakArI_urvaraka#amlakArI_urvaraka#noun#2#RM
acid_forming_fertilizer	amlakArI_urvaraka#amlakArI_urvaraka#noun#2#RM
acidic_rock	aXisivika_SEla#aXisivika_SEla#noun#2#RM
acidity_test	amlawA_parIkRaNa#amlawA_parIkRaNa#noun#2#RM
acid_soil	amlIya_mqxA#amlIya_mqxA#noun#2#RM
acid_value	amla_mAna#amla_mAna#noun#2#RM
active_absorption	sakriya_avaSoRaNa#sakriya_avaSoRaNa#noun#2#RM
active_ingradient_(a.i.)	sakriya_wawva/sakriya_avayava#sakriya_wawva/sakriya_avayava#noun#2#RM
actual_cost	vAswavika_lAgawa#vAswavika_lAgawa#noun#2#RM
actual_evapotranspiration	vAswavika_vARpana_vARpowsarjana#vAswavika_vARpana_vARpowsarjana#noun#2#RM
actual_expenditure	vAswavika_vyaya#vAswavika_vyaya#noun#2#RM
adapted_varieties	anukUliwa_kismeM#anukUliwa_kismeM#noun#2#RM
additive_effect	saMyojI_praBAva#saMyojI_praBAva#noun#2#RM
additive_gene_interaction	saMyogika_jIna_anyonyakriyA#saMyogika_jIna_anyonyakriyA#noun#2#RM
additive_gene	saMyogika_jIna#saMyogika_jIna#noun#2#RM
adjusted_price	samAyojiwa_kImawa#samAyojiwa_kImawa#noun#2#RM
administrative_coordination	praSAsakIya_samanvaya#praSAsakIya_samanvaya#noun#2#RM
adobe_soil	IMta_mqxA#IMta_mqxA#noun#2#RM
adopted_variety	anukUliwa_kisma#anukUliwa_kisma#noun#2#RM
advalorem_duty	yaWAmUlya_Sulka#yaWAmUlya_Sulka#noun#2#RM
adventitious_grass	apasWAnika_GAsa/apasWAnikaGAsa#apasWAnika_GAsa/apasWAnikaGAsa#noun#2#RM
adventitious_root	apasWAnika_mUla#apasWAnika_mUla#noun#2#RM
advisory_committee	salAhakAra_samiwi#salAhakAra_samiwi#noun#2#RM
advisory_council	salAhakAra_pariRaxa#salAhakAra_pariRaxa#noun#2#RM
aeolian_deposit	vAwoDa_nikRepa#vAwoDa_nikRepa#noun#2#RM
aeolian_soil	vAwoDa_mqxA#vAwoDa_mqxA#noun#2#RM
aerating_root	vAyugrAhI_mUla#vAyugrAhI_mUla#noun#2#RM
aerial_growth	vAyava_vqxXi#vAyava_vqxXi#noun#2#RM
aerial_layering	gUtI_bAnXanA#gUtI_bAnXanA#noun#2#RM
aerial_root	vAyava_mUla#vAyava_mUla#noun#2#RM
aerial_stem	vAyavI_yawanA#vAyavI_yawanA#noun#2#RM
aerobic_bacteria	vAyujIvI_bEktIri_yA#vAyujIvI_bEktIri_yA#noun#2#RM
aerobic_decomposition	vAyu_apaGatana#vAyu_apaGatana#noun#2#RM
after_crop	uwwara_sasya#uwwara_sasya#noun#2#RM
after_growth	punavqrxXi#punavqrxXi#noun#2#RM
after_ripening	pAkowwara#pAkowwara#noun#2#RM
age_of_farmer	kqRaka_Ayu/kisAna_kI_umra#kqRaka_Ayu/kisAna_kI_umra#noun#2#RM
agricultural_capital	kqRigawa_pUzjI#kqRigawa_pUzjI#noun#2#RM
agricultural_class	Kewihara_varga#Kewihara_varga#noun#2#RM
agricultural_commission	kqRi_Ayoga#kqRi_Ayoga#noun#2#RM
agricultural_credit	kqRi_uXAra/kqRi_sAKa#kqRi_uXAra/kqRi_sAKa#noun#2#RM
agricultural_credit_society	kqRi_uXAra_samiwi/kqRi_sAKa_samiwi#kqRi_uXAra_samiwi/kqRi_sAKa_samiwi#noun#2#RM
agricultural_debt_relief_act	kqRi_qNa_vimocana_aXiniyama#kqRi_qNa_vimocana_aXiniyama#noun#2#RM
agricultural_department	kqRi_viBAga#kqRi_viBAga#noun#2#RM
agricultural_depression	kqRi_manxI#kqRi_manxI#noun#2#RM
agricultural_economics	kqRi_ArWikI/kqRi_arWaSAswra#kqRi_ArWikI/kqRi_arWaSAswra#noun#2#RM
agricultural_eco-system	kqRi_pArisWiwikI#kqRi_pArisWiwikI#noun#2#RM
agricultural_efficiency	kqRi_kuSalawA#kqRi_kuSalawA#noun#2#RM
agricultural_extension	kqRi_prasAra/viswAra#kqRi_prasAra/viswAra#noun#2#RM
agricultural_forecasting	kqRi_pUrvAnumAna#kqRi_pUrvAnumAna#noun#2#RM
agricultural_hazard	kqRi_vipaxA#kqRi_vipaxA#noun#2#RM
agricultural_income	kqRi_Aya#kqRi_Aya#noun#2#RM
agriculturally_important	kqRi_upayogI#kqRi_upayogI#noun#2#RM
agricultural_machinery	kqRi_yanwra#kqRi_yanwra#noun#2#RM
agricultural_marketing	kqRi_vipaNana#kqRi_vipaNana#noun#2#RM
agricultural_minimum_wages	nyUnawama_kqRi_majaxUrI#nyUnawama_kqRi_majaxUrI#noun#2#RM
agricultural_operation	kqRi_kArya#kqRi_kArya#noun#2#RM
agricultural_planning	kqRi_Ayojana/kqRi_yojanA#kqRi_Ayojana/kqRi_yojanA#noun#2#RM
agricultural_policy	kqRi_nIwi#kqRi_nIwi#noun#2#RM
agricultural_practice	kqRi_kriyA#kqRi_kriyA#noun#2#RM
agricultural_produce	kqRi_upaja#kqRi_upaja#noun#2#RM
agricultural_production	kqRi_uwpAxana#kqRi_uwpAxana#noun#2#RM
agricultural_product	kqRi_uwpAxa#kqRi_uwpAxa#noun#2#RM
agricultural_profit	kqRi_lABa#kqRi_lABa#noun#2#RM
agricultural_purpose	kqRi_uxxeSya#kqRi_uxxeSya#noun#2#RM
agricultural_research_centre	kqRi_anusanXAna_keMxra#kqRi_anusanXAna_keMxra#noun#2#RM
agricultural_research_institute	kqRi_anusanXAna_saMsWAna#kqRi_anusanXAna_saMsWAna#noun#2#RM
agricultural_sector	kqRi_kRewra#kqRi_kRewra#noun#2#RM
agricultural_society	kqRi_samiwi#kqRi_samiwi#noun#2#RM
agricultural_stage	kqRi_avasWA#kqRi_avasWA#noun#2#RM
Agricultural_system	kqRi_praNAlI#kqRi_praNAlI#noun#2#RM
agricultural_wages	kqRi_majaxUrI#kqRi_majaxUrI#noun#2#RM
agrilcultural_economy	kqRi_arWavyavasWA#kqRi_arWavyavasWA#noun#2#RM
agroforestry_system	kqRi_vAnikI_praNAlI#kqRi_vAnikI_praNAlI#noun#2#RM
agronomic_character	sasyIya_aBilakRaNa#sasyIya_aBilakRaNa#noun#2#RM
