#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
a.c._network_analyser	e.sI._netavarka_viSleRaka#e.sI._netavarka_viSleRaka#noun#3#RM
a.c._power_supply	prawyAvarwI_vixyuwa_XArA_ApUrwi/e.sI._vixyuwa_ApUrwi#prawyAvarwI_vixyuwa_XArA_ApUrwi/e.sI._vixyuwa_ApUrwi#noun#3#RM
a.c._single_phase_outlet	e.sI._siMgala_Peja_Autaleta/e.sI._ekala_Peja_nirgama#e.sI._siMgala_Peja_Autaleta/e.sI._ekala_Peja_nirgama#noun#4#RM
a.c._three_phase_outlet	e.sI._WrI_Peja_Autaleta/e.sI._wIna_Peja_nirgama#e.sI._WrI_Peja_Autaleta/e.sI._wIna_Peja_nirgama#noun#4#RM
abatement_of_duty	Sulka_me_kamIM#Sulka_me_kamIM#noun#3#RM
above_par_value	aXimUlya#aXimUlya#noun#3#RM
abrasive_,_natural	prAkqwika_apaGarRaka#prAkqwika_apaGarRaka#noun#3#RM
abrasive_,_soft	narma_apaGarRaka#narma_apaGarRaka#noun#3#RM
abridged_report	safkRipwa_riporta#safkRipwa_riporta#noun#2#RM
abrupt_contraction	apacCinna_safkuM_cana#apacCinna_safkuM_cana#noun#2#RM
abrupt_drop	apacCinna_avapAwa#apacCinna_avapAwa#noun#2#RM
abrupt_enlargement	apacCinna_saMvarXana#apacCinna_saMvarXana#noun#2#RM
abrupt_junction	apacCinna_sanXi#apacCinna_sanXi#noun#2#RM
absentee_report	anupasWiwi_riporta#anupasWiwi_riporta#noun#2#RM
absolute_angle	pariSuxXa_koNa#pariSuxXa_koNa#noun#2#RM
absolute_code	nirapekRa_koda#nirapekRa_koda#noun#2#RM
absolute_drift	nirapekRa_apavahana/nirapekRa_driPta#nirapekRa_apavahana/nirapekRa_driPta#noun#2#RM
absolute_elevation	nirapekRa_UzcAI#nirapekRa_UzcAI#noun#2#RM
absolute_humidity	nirapekRa_ArxrawA#nirapekRa_ArxrawA#noun#2#RM
absolute_jet_velocity	nirapekRa_praXAra_vega/nirapekRa_jeta_vega#nirapekRa_praXAra_vega/nirapekRa_jeta_vega#noun#3#RM
absolute_magnetic_permeability	nirapekRa_cumbakaSIlawA/nirapekRa_cubafkIya_pAragamyawA#nirapekRa_cumbakaSIlawA/nirapekRa_cubafkIya_pAragamyawA#noun#3#RM
absolute_monopoly	pUrNa_ekAXikAra#pUrNa_ekAXikAra#noun#2#RM
absolute_path	nirapekRa_paWa#nirapekRa_paWa#noun#2#RM
absolute_pressure	nirapekRa_xAba#nirapekRa_xAba#noun#2#RM
absolute_pressure_gauge	nirapekRa_xAba_pramApI#nirapekRa_xAba_pramApI#noun#3#RM
absolute_rugosity_co-efficient	nirapekRa_rukRawA_guNAfka#nirapekRa_rukRawA_guNAfka#noun#3#RM
absolute_stability	nirapekRa_sWAyiwva#nirapekRa_sWAyiwva#noun#2#RM
absolute_value	nirapekRa_mAna#nirapekRa_mAna#noun#2#RM
absolute_velocity	nirapekRa_vega#nirapekRa_vega#noun#2#RM
absolute_volume	nirapekRa_Ayawana#nirapekRa_Ayawana#noun#2#RM
absolute_weight	nirapekRa_BAra#nirapekRa_BAra#noun#2#RM
absorber_,_centrifugal	apakeMxrI_avaSoRaka#apakeMxrI_avaSoRaka#noun#3#RM
absorber_,_surge	prowkarRa_avaSoRaka#prowkarRa_avaSoRaka#noun#3#RM
absorption_factor	avaSoRaNa_guNAfka#avaSoRaNa_guNAfka#noun#2#RM
absorption_resistance	avaSoRaNa_prawiroXa#avaSoRaNa_prawiroXa#noun#2#RM
absorption_spectrum	avaSoRaNa_spEktrama#avaSoRaNa_spEktrama#noun#2#RM
absorptive_power	avaSoRaNa_kRamawA#avaSoRaNa_kRamawA#noun#2#RM
absorptivity_equilibrium	avaSoRakawA_sAmya#avaSoRakawA_sAmya#noun#2#RM
abstract_contingent_bill	safkRipwa_Akasmika_vyaya_bila#safkRipwa_Akasmika_vyaya_bila#noun#3#RM
abstract_of_tender	nivixA_sAra/tedara_sAra#nivixA_sAra/tedara_sAra#noun#3#RM
abstract_sheet	sAra_pawraka#sAra_pawraka#noun#2#RM
abuse_of_power	aXikAra_kA_xurupayoga#aXikAra_kA_xurupayoga#noun#3#RM
abutment_,_cellular	koRTamaya_anwyAXAra/pIlapAyA#koRTamaya_anwyAXAra/pIlapAyA#noun#3#RM
abutment_,_counterfort	puSwexAra_anwyAXAra/pIlapAyA#puSwexAra_anwyAXAra/pIlapAyA#noun#3#RM
abutment_,_gravity	BArASriwa_anwyAXAra/pIlapAyA#BArASriwa_anwyAXAra/pIlapAyA#noun#3#RM
abutment_,_hinged	hiMjiwa_anwyAXAra/pIlapAyA#hiMjiwa_anwyAXAra/pIlapAyA#noun#3#RM
abutment_,_slopping	DAlU_anwyAXAra/pIlapAyA#DAlU_anwyAXAra/pIlapAyA#noun#3#RM
abutment_,_stepped	sopAnI_anwyAXAra/pIlapAyA#sopAnI_anwyAXAra/pIlapAyA#noun#3#RM
abutting_ends	prawisparSI_sire#prawisparSI_sire#noun#2#RM
abutting_joint	takkarI_joda#takkarI_joda#noun#2#RM
accelerated_power_development_and_reforms_programme	wvariwa_vixyuwa_vikAsa_evaM_suXAra_kAryakrama#wvariwa_vixyuwa_vikAsa_evaM_suXAra_kAryakrama#noun#6#RM
accelerating_flow	wvaraka_pravAha#wvaraka_pravAha#noun#2#RM
accelerating_force	wvaraka_bala#wvaraka_bala#noun#2#RM
accelerating_head	wvaraka_xAboccawA#wvaraka_xAboccawA#noun#2#RM
acceleration_centre	wvaraNa_keMxra#wvaraNa_keMxra#noun#2#RM
acceleration_curve	wvaraNa_vakra#wvaraNa_vakra#noun#2#RM
acceleration_density	wvaraNa_Ganawva#wvaraNa_Ganawva#noun#2#RM
acceleration_excitation	wvaraNa_uwwejana#wvaraNa_uwwejana#noun#2#RM
acceleration_load	wvaraNa_BAra#wvaraNa_BAra#noun#2#RM
access_,_network	netavarka_pahucaM#netavarka_pahucaM#noun#3#RM
access_road	pahuFca_mArga#pahuFca_mArga#noun#2#RM
access_time	pahuca_samayaM#pahuca_samayaM#noun#2#RM
