#electronics multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electronics multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
acceptor_impurity	grAhI_apaxravya#grAhI_apaxravya#noun#2#RM
accoustic_delay_line	Xvanika_vilamba_paripaWa#Xvanika_vilamba_paripaWa#noun#3#RM
accoustic_feedback	Xvanika_punarniveSa#Xvanika_punarniveSa#noun#2#RM
aerial_array	eriyala_vyUha#eriyala_vyUha#noun#2#RM
allowed_band	anumawa_bEMda#anumawa_bEMda#noun#2#RM
allyed_transistor	miSrAwu_trAFjistara#miSrAwu_trAFjistara#noun#2#RM
am/fm_receiver	eema/ePaema_aBigrAhI#eema/ePaema_aBigrAhI#noun#2#RM
amorphous_material	akristalIya_paxArWa#akristalIya_paxArWa#noun#2#RM
amplification_factor	pravarXana-guNAfka#pravarXana-guNAfka#noun#2#RM
amplitude_distorsion	AyAma-virUpaNa#AyAma-virUpaNa#noun#2#RM
amplitude_limiter	AyAma-sImaka#AyAma-sImaka#noun#2#RM
amplitude_modulation	AyAma-mAdulana#AyAma-mAdulana#noun#2#RM
analog_computer	anurUpa_aBikaliwra#anurUpa_aBikaliwra#noun#2#RM
analog_converter	anurUpa_parivarwaka#anurUpa_parivarwaka#noun#2#RM
and_gate	EMda_geta/aWa_xvAra#EMda_geta/aWa_xvAra#noun#2#RM
anisotropic_conductivity	viRamaxESika_cAlakawA#viRamaxESika_cAlakawA#noun#2#RM
attenuation_constant	kRINana_niyawAfka#kRINana_niyawAfka#noun#2#RM
attenuation_equalizer	kRINana_samakArI#kRINana_samakArI#noun#2#RM
audio_frequency	Sravya_Avqwwi#Sravya_Avqwwi#noun#2#RM
automatic_frequency_control_(_afc_)	svacAliwa_Avqwwi_niyanwraNa#svacAliwa_Avqwwi_niyanwraNa#noun#5#RM
automatic_gain_control_(_agc_)	svacAliwa_labXi_niyanwraNa#svacAliwa_labXi_niyanwraNa#noun#5#RM
automatic_tracking	svawaH_anuvarwana#svawaH_anuvarwana#noun#2#RM
automatic_volume_control_(_avc_)	svawaH_prabalawA_niyanwraNa#svawaH_prabalawA_niyanwraNa#noun#5#RM
background_noise	pqRTaBUmi_rava#pqRTaBUmi_rava#noun#2#RM
backward_wave	paScagAmI_warafga#paScagAmI_warafga#noun#2#RM
backward_wave_tube	paSca-warafga-nalI#paSca-warafga-nalI#noun#3#RM
balanced_modulator	sanwuliwa_mAduliwra#sanwuliwa_mAduliwra#noun#2#RM
band-pass_filter_bemda_paraka_piltara	Band-pass_filter_bEMda_pAraka_Piltara#Band-pass_filter_bEMda_pAraka_Piltara#noun#5#RM
band_spreading	bEMda_viswAraNa#bEMda_viswAraNa#noun#2#RM
band_width	bEMda-viswAra#bEMda-viswAra#noun#2#RM
bang_bang_control	bEMga-bEMga_niyanwraNa#bEMga-bEMga_niyanwraNa#noun#3#RM
barkhousen_criterion	bArkahAujena_kasOtI#bArkahAujena_kasOtI#noun#2#RM
barrel_distorsion	bErela-virUpaNa/DolakAkAra_virUpaNa#bErela-virUpaNa/DolakAkAra_virUpaNa#noun#2#RM
base_band	AXAra_bEMda#AXAra_bEMda#noun#2#RM
battery_charger	bEtarI_AveSaka#bEtarI_AveSaka#noun#2#RM
battery_eliminator	bEtarI_vilopaka#bEtarI_vilopaka#noun#2#RM
beam_current	kiraNapuFja_XArA#kiraNapuFja_XArA#noun#2#RM
beat_frequency	vispanxa_Avqwwi#vispanxa_Avqwwi#noun#2#RM
bifilara_winding	xvisUwrI_kuNdalana#xvisUwrI_kuNdalana#noun#2#RM
binary_cell	xvayAXArI_koRTikA#xvayAXArI_koRTikA#noun#2#RM
binary_code	xvayAXArI_koda#xvayAXArI_koda#noun#2#RM
binary_number_system	xvayAXArI_safKyA-paxXawi#xvayAXArI_safKyA-paxXawi#noun#3#RM
bipolar_transistor	xviXruvI_trAFjistara#xviXruvI_trAFjistara#noun#2#RM
black_box	kAlA_baksa#kAlA_baksa#noun#2#RM
black_level	kqRNa_swara#kqRNa_swara#noun#2#RM
black_out	wimirAyaNa#wimirAyaNa#noun#2#RM
bleeder_resister	srAvI_prawiroXaka#srAvI_prawiroXaka#noun#2#RM
block_diagram	KaNda_AreKa#KaNda_AreKa#noun#2#RM
blocking_capacitor	avaroXI_sanXAriwra#avaroXI_sanXAriwra#noun#2#RM
blocking_oscillator	avaroXI_xolaka#avaroXI_xolaka#noun#2#RM
boolean_algebra	bUlIya_bIjagaNiwa#bUlIya_bIjagaNiwa#noun#2#RM
bound_electron	paribaxXa_ilektroYna#paribaxXa_ilektroYna#noun#2#RM
breakdown_voltage	Bafga_voltawA#Bafga_voltawA#noun#2#RM
bridge_rectifier	sewu_xiRtakArI#sewu_xiRtakArI#noun#2#RM
brightness_control	xyuwi_niyanwraNa#xyuwi_niyanwraNa#noun#2#RM
bucking_coil	prawikArI_kuNdalI#prawikArI_kuNdalI#noun#2#RM
bus_bar	basa_bAra#basa_bAra#noun#2#RM
butterfly_resonator	wiwalI_anunAxaka#wiwalI_anunAxaka#noun#2#RM
carrier_beat	vAhaka_bIta#vAhaka_bIta#noun#2#RM
carrier_mobility	vAhaka_gawiSIlawA#vAhaka_gawiSIlawA#noun#2#RM
carrier_modulation	vAhaka_mAdulana#vAhaka_mAdulana#noun#2#RM
carrier_system	vAhaka_wanwra#vAhaka_wanwra#noun#2#RM
carrier_to_noise_ratio	vAhaka-rava_anupAwa#vAhaka-rava_anupAwa#noun#4#RM
carrier_transmission	vAhaka_saFcaraNa#vAhaka_saFcaraNa#noun#2#RM
carrier_wave	vAhaka_warafga#vAhaka_warafga#noun#2#RM
cathode_follower	kEWoda_anugAmI#kEWoda_anugAmI#noun#2#RM
cathode_luminescence	kEWodI_sanxIpwi#kEWodI_sanxIpwi#noun#2#RM
cathode_phosphoresence	kEWodI_sPuraxIpwi#kEWodI_sPuraxIpwi#noun#2#RM
cathode_sputtering	kEWodI_kaNaraFjana#kEWodI_kaNaraFjana#noun#2#RM
cats_whisker	roma#roma#noun#2#RM
channel_capacity	cEnela_kRamawA#cEnela_kRamawA#noun#2#RM
channel_effect	cEnela_praBAva#cEnela_praBAva#noun#2#RM
charecteristic_impedance	aBilAkRaNika_prawibAXA#aBilAkRaNika_prawibAXA#noun#2#RM
charge_carrier	AvSa_vAhaka#AvSa_vAhaka#noun#2#RM
charge_storage_tube	AveSa-saFcayana-nalikA#AveSa-saFcayana-nalikA#noun#3#RM
choke_coupling	coka_yugmana#coka_yugmana#noun#2#RM
chopper_amplifier	anwarAyika_pravarXaka#anwarAyika_pravarXaka#noun#2#RM
chroma_controller	kromA_niyanwraka#kromA_niyanwraka#noun#2#RM
circle-dot_mode	vqwwa-biMxu_viXA#vqwwa-biMxu_viXA#noun#2#RM
circuit_analyser	paripaWa_viSleRaka#paripaWa_viSleRaka#noun#2#RM
circuit_breaker	paripaWa_vicCexaka#paripaWa_vicCexaka#noun#2#RM
circuit_diagram	paripaWa_AreKa#paripaWa_AreKa#noun#2#RM
circuit_efficiency	paripaWa_xakRawA#paripaWa_xakRawA#noun#2#RM
circuit_element	paripaWa_avayava#paripaWa_avayava#noun#2#RM
circulating_memory	parisaFcArI_smqwi#parisaFcArI_smqwi#noun#2#RM
clamping_circuit	banXana_paripaWa#banXana_paripaWa#noun#2#RM
clipping_circuit	varwana_paripaWa#varwana_paripaWa#noun#2#RM
clock_frequency	kAlaxa_Avqwwi#kAlaxa_Avqwwi#noun#2#RM
