usa_jagaha	vahAz/usa_jagaha
SiRtAcArahInawaH	asaByawaH/aSiRtawaH/SiRtAcArahInawaH
nyUnAXika	kamobeSa/kamabeSa/nyUnAXika
besAKwA	Jatapata/catapata/PatAPata/wuranwa/wuranwa/wawkAla/avilamba/avilamba/POrana/POrana/KatAka_se/wawkRaNa/wadAka_se/wada_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wada_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
kRaNa-kRaNa	prawikRaNa/pala_pala/pala-pala/prawipala/hara_kRaNa/kRaNa-kRaNa/haraGadI/hara_GadI/prawi_kRaNa/kRaNakRaNa/anukRaNa/CinaCina/Cina-Cina/AKana
bAxahavAI	vyarWa/PajUla/PijUla/PijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
Wara-Wara	Wara-Wara/WaraWara
samBAlakara	sAvaXAnIpUrvaka/XyAnapUrvaka/XyAna_se/sAvaXAnI_se/sAvaXAnawaH/samBAlakara/samBAlakara
nissanxeha	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka
gupwawaH	gupwawaH/gupacupa_rUpa_se/corI_Cipe
Agala	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA
IrRyAhInawaH	IrRyAhInawaH/anasUyawaH/xveRahInawaH
BOMcakkA	hakkA-bakkA/BOMcakkA/kiMkarwavya-vimUDa/kiMkarwwavya-vimUDa/kiMkarwavyavimUDa/kiMkarwwavyavimUDa/hawabuxXi
labAlaba	labAlaba/labareja/labareja
wadake	sabere/savere/subaha/wadake/subaha-subaha/subaha_savere
hara_GadI	prawikRaNa/pala_pala/pala-pala/prawipala/hara_kRaNa/kRaNa-kRaNa/haraGadI/hara_GadI/prawi_kRaNa/kRaNakRaNa/anukRaNa/CinaCina/Cina-Cina/AKana
cAranAcAra	majabUrana/vivaSawaH/anacAhe/majabUrana/vivaSa_hokara/cAranAcAra/anwawogawvA/barabasa
Barasaka	yaWASakwi/Barasaka/yaWAsAXya/yaWAsamBava/kRamawAnusAra/yaWAkRama
AgalA	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA
anavarawa	lagAwAra/anavarawa/niranwara/niranwara/wAbadawoda/xanAxana/sawawa/XUAzXAra/ananwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadAXada/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAnwa/asarAra/aharaha/Asafga/Asafga/ikawAra
kaI_bAra	kaI_bAra/bahuwa_bAra/anekaSaH
AKirakAra	anwawaH/anwawogawvA/anwa_meM/AKira/AKira/AKirakAra/AKirakAra/howe_havAwe
gaharAI_meM	gahare/gaharAI_meM
kramahInawaH	kramahInawaH/akramawaH/avyavasWiwawaH/jahAz_wahAz
ajo	aba_waka/aBI_waka/Aja_waka/abawaka/aBIwaka/Ajawaka/ajahuz/ajahUz/ajo/ajOM/abalaga
AxeSAnusAra	AjFAnusAra/AxeSAnusAra
vApisa	vApasa/vApisa
anXAXunXa	anXAXunXa/bewahASA/anXAXunXa/anXaXunXa/anXaXunXa/utakkara
yaWABIRta	icCAnusAra/icCAnukula/yaWecCa/yaWABIRta/yaWAvAFCiwa
saba_milAkara	kula_milAkara/saba_milAkara
aXika	Upara/aXika/jyAxA/jyAxA/bahuwa/KUba/KUba/badA/jyAxA/jyAxA/aXika/kAPI/kAPI/kadA/jamakara/datakara
pahale-pahala	pahale_pahala/praWamawaH/sarva_praWama/sarvapraWama/SurU_meM/pahale-pahala/avvalana/pahile_pahala/pahile_pahala
