Bhayam	syAw
Lord	parameSvara
Lord's	BagavAn
Why	kya
abandon	Coda
account	ho
activity	kArya
all	sArI
already	aba
anyone	koI
appearance	AnA-jAna
apply	vyavahqwa_kara
arrange	jAna
as	vijaya-paWa_meM
ask	anuroXa_kara
assure	xilA
attack	na_kara
available	prApwa
avoid	baca
base	nirBara_kara
be	viroXa_kara/kara/mila/WA/rahe_ho
begin	ho
benefit	ho
binding	pAlanIya
bliss	saccixAnanxamaya
bound	bAXya_ho
change	SarIra-parivarwana
chastise	sazBAla
choose	hazsa
clearly	pUrNa
code	Xarma
completely	jisa_waraha
concerned	mila
confident	AScasWa
confirm	ho/puRti
consciousness	kqRNaBAvanAmqwa
consequently	isIlie
contain	WA
continue	akRuNNa_raha
death	ho
definitely	vyakwa
deliver	ho
describe	varNana
design	banA
determine	uxyawa
deviate	ho
devotee	BagavaxBakwa
directly	kqRNa/sAkRAw/sAkRAwa
do	kyA
draw	jA
early	manuRya_ko
engage	laga
enjoyment	suKopaBoga
envision	xarSana_kara
even	BI_kareM/nahIM
exchange	ho
expect	WA
fact	ho
fight	ladA
fit	yogya
fool	murKa
foolish	murKa
forget	Awmavismqwi
forgetful	rUpI
fragmental	aMSa
fulfil	pUrA
fully	pUrNa
further	jAnakAra/piwAmaha_ke
go	jAna/ekAnwavAsa_kara/karA/viSvAsa_kara
greatest	saba
happen	pqWApuwra
have	WA
himself	apanA
his	vaha
individual	paramAwmA
individuality	aswiwva
instruct	upaxiRta
intimate	GaniRTawama
it	EsA
join	grahaNa_kara
just	rahawe_hEM
killing	vaXa_kara
kind	upayukwa
lead	ho
leave	raha
live	jahAz/biwA
lord	BagavAn
lose	jA
make	nikAla/praswuwa_kara/A
marry	WA
materially	xqRti_se
mean	nahIM
member	loga
mischief	uwpIdana
miscreant	awyAcArI
miserly	kqpaNa
mundane	saMsArI
name	kArya
naturally	svABAvika
never	kaBI
nor	nahIM
not	nahIM_mila_sakegA
now	Aja
offer	grahaNa_kara
otherwise	viparIwa
our	mEM
pain	kasara
percent	Sawa-prawiSawa
plurality	xvEwa
possible	BalA
present	vixyamAna
presentation	nirUpaNa
primeval	Axi
prone	kumArgagAmI
properly	lABa_nahIM_uTAwA
put	pada
realize	anuBava
refer	aBiprAya/kaha
regardless	cAhe
represent	praxarSiwa_kara
retaliate	cAha/prawiSoXa
reverse	parAjaya
sa	jo/sa
secluded	nirASApUrNa
shatter	ho
show	xiKa
similarly	anya/awaH/BagavAn_BI
simply	brahma_rUpa_ko_hI
sing	xe
smile	aba
so	EsA_kie_binA/vEsA_hI
somehow	xAvAgni_ke_samAna
sometimes	kaBI
soul	baxXajIva
spare	raKa
speak	kaWiwa
spiritual	guru/paramparAgawa
still	ho_BI_jAya
strategic	adiga/apanI-apanI
student	miwra
submit	grahaNa_kara
superior	SreRTawara/gurujana/vyakwi
take	prayawna_kara
teaching	upaxeSa
that	EsA
then	wo_Pira/xene_kI
there	isameM
thereby	SarIra
therefore	isa_waraha
thus	yaha
uncompromising	samaJOwA
us	mEM
verbal	vAgyuxXa
very	samakRa/XqRtaxayumna
vibrate	varNana
way	upAya
welfare	svArWa
while	bETa-bETa
whole	mAna
yo	yo
