#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
abnormal_termination	apasAmAnya_Bafga#apasAmAnya_Bafga#noun#2#RM
abort_timer	viPalana_kAlaxa#viPalana_kAlaxa#noun#2#RM
absolute_address	nirapekRa_pawA#nirapekRa_pawA#noun#2#RM
absolute_addressing	nirapekRa_pawABigamana#nirapekRa_pawABigamana#noun#2#RM
absolute_assembler	nirapekRa_kodAnwaraka#nirapekRa_kodAnwaraka#noun#2#RM
absolute_cell_address	nirapekRa_koRtikA_pawA#nirapekRa_koRtikA_pawA#noun#3#RM
absolute_cell_reference	nirapekRa_koRtikA_nirxeSa#nirapekRa_koRtikA_nirxeSa#noun#3#RM
absolute_code	nirapekRa_koda#nirapekRa_koda#noun#2#RM
absolute_coding	nirapekRa_kodana#nirapekRa_kodana#noun#2#RM
absolute_command	nirapekRa_samAxeSa#nirapekRa_samAxeSa#noun#2#RM
absolute_coordinate	nirapekRa_nirxeSAfka#nirapekRa_nirxeSAfka#noun#2#RM
absolute_data	nirapekRa_Afkade#nirapekRa_Afkade#noun#2#RM
absolute_error	nirapekRa_wruti#nirapekRa_wruti#noun#2#RM
absolute_expression	nirapekRa_vyaFjaka#nirapekRa_vyaFjaka#noun#2#RM
absolute_instruction	nirapekRa_anuxeSa#nirapekRa_anuxeSa#noun#2#RM
absolute_loader	nirapekRa_BAraka#nirapekRa_BAraka#noun#2#RM
absolute_location	nirapekRa_sWiwi#nirapekRa_sWiwi#noun#2#RM
absolute_mode	nirapekRa_viXA#nirapekRa_viXA#noun#2#RM
absolute_order	nirapekRa_krama#nirapekRa_krama#noun#2#RM
absolute_path_name	nirapekRa_paWa_nAma#nirapekRa_paWa_nAma#noun#3#RM
absolute_programming	nirapekRa_kramAxeSana/nirapekRa_progrAmana#nirapekRa_kramAxeSana/nirapekRa_progrAmana#noun#2#RM
absolute_term	nirapekRa_paxa#nirapekRa_paxa#noun#2#RM
absolute_value	nirapekRa_mAna#nirapekRa_mAna#noun#2#RM
absolute_vector	nirapekRa_saxiSa#nirapekRa_saxiSa#noun#2#RM
absorption_property	avaSoRaNa_guNaXarma#avaSoRaNa_guNaXarma#noun#2#RM
abstract_class	amUrwa_varga#amUrwa_varga#noun#2#RM
abstract_data_types	amUrwa_AfkadA_prarUpa#amUrwa_AfkadA_prarUpa#noun#3#RM
abstract_operation	amUrwa_safkriyA#amUrwa_safkriyA#noun#2#RM
abstract_symbol	amUrwa_prawIka#amUrwa_prawIka#noun#2#RM
abstract_syntax	amUrwa_vAkya_vinyAsa#amUrwa_vAkya_vinyAsa#noun#2#RM
abstract_syntax_notation_one	amUrwa_vAkya_vinyAsa_safkewana#amUrwa_vAkya_vinyAsa_safkewana#noun#4#RM
accelerated_testing	wvariwa_parIkRaNa#wvariwa_parIkRaNa#noun#2#RM
acceleration_period	wvaraNa_avaXi#wvaraNa_avaXi#noun#2#RM
acceleration_time	wvaraNa_kAla#wvaraNa_kAla#noun#2#RM
accelerator_board	wvaraka_patta#wvaraka_patta#noun#2#RM
accent_arrangement	aBigama_vyavasWA#aBigama_vyavasWA#noun#2#RM
accent_authority	aBigama_prAXikaraNa#aBigama_prAXikaraNa#noun#2#RM
accent_charge	aBigama_Sulka#aBigama_Sulka#noun#2#RM
accent_class	aBigama_varga#aBigama_varga#noun#2#RM
accent_data_base_management	aBigama_AfkadA_saFcaya_prabanXana#aBigama_AfkadA_saFcaya_prabanXana#noun#4#RM
accept_policy	svIkAra_nIwi#svIkAra_nIwi#noun#2#RM
acceptable_use	svIkArya_upayoga#svIkArya_upayoga#noun#2#RM
acceptable_use_policy	svIkArya_upayoga_nIwi#svIkArya_upayoga_nIwi#noun#3#RM
acceptance_state	svIkqwi_avasWA#svIkqwi_avasWA#noun#2#RM
acceptance_test	svIkqwi_parIkRaNa#svIkqwi_parIkRaNa#noun#2#RM
