??equivalent_noun	wulyAfka
Abiodegradation	ajEva_nimnIkaraNIya
Abundance	pracura
Accommodation	samaFjana
Acidified	amlIya
Acronym	parivarNI_Sabxa
Activity	aBikriyASIlawA
Acute_leukaemia	wIvra_lyukImiyA
Alkali	kRAra
Alkaline	kRArIya
Alloy	miSra_XAwu
Alternating_current	prawyAvarwI_XArA
Aluminium	Eluminiyama
Alveoli	kUpikA
Amphoteric	uBayaXarmI
Analgesic	pIdAhArI
Angle_of_deviation	vicalana_koNa
Antacid	EMtesida
Anther	parAga_koSa
Antibiotics	prawijEvika
Antiseptic	prawiroXI
Anus	guxAxvAra
Aorta	mahAXamanI
Aperture	xvAraka
Appendix	pariSoRikA
Appliance	sAXiwra
Approximate	sannikata
Aquarium	jala-jIvaSAlA
Aqueous_humour	newroxa
Aqueous_solution	jalIya_vilayana
Argon	Argana
Artery	XamanI
Atomic_mass	paramANu_xravyamAna
Atomic_number	paramANu_safKyA
Atomic_size	paramANu_sAija
Atrium	aliMxa
Autotroph	svapoRI
Axon	wanwrikAkRa
Barium	beriyama
Bee-sting	maXumakKI_kA_dafka
Bile_juice	piwwa_rasa
Binary_fission	xviKaNdana
Bio-focal_lens	xviPokasI_leMsa
Biocatalyst	jEva_uwpreraka
Biodegradation	jEva-nimnIkaraNa
Biological_magnification	jEva-AvarXana
Biomass	jEva_mAwrA
Bitter	kadavA
Boron	boroYna
Bowmen's_capsule	bomana_samputa
Brain	maswiRka
Bromine	bromIna
Bronchi	SvasanI
Bubble	bulabulA
Budding	mukulana
By_products	upowpAxa
Calcination	niswApana
Calcium	kElsiyama
Calculation	parikalana
Carnivore	mAMsAhArI
Catalyst	uwpreraka
Cataract	mowiyA_biMxa
Catenation	SrqfKalana
Cerebellum	anumaswiRka
Cerebrum	pramaswiRka
Cervix	garBASayagrIvA
Cesium	sIjiyama
Chain_Reaction	SrqfKalA_aBikriyA
Characteristic	aBilakRaNa
Charge	AveSa
Chemical_formula	rAsAyanika_sUwra
