#Structure_of_the_file:	#Structure_of_the_file:
#English-compound-word	Hindi-meaning
,_in_short_,	safkRipwa_meM#safkRipwa_meM#noun#2#RM
,_that_is_,	yAne_ki#yAne_ki#noun#2#RM
A_fighting_chance	kArya_kI_saPalawA_kI_WodI_ASA#kArya_kI_saPalawA_kI_WodI_ASA#noun#3#RM
Acacia_catechu	babUla_prajAwi#babUla_prajAwi#noun#2#RM
Accept_policy	svIkAra_nIwi#svIkAra_nIwi#noun#2#RM
Access_index	aBigama_sUcaka#aBigama_sUcaka#noun#2#RM
Access_line	aBigama_lAina#aBigama_lAina#noun#2#RM
Access_matrix	aBigama_AvyUha#aBigama_AvyUha#noun#2#RM
Access_method	aBigama_viXi#aBigama_viXi#noun#2#RM
Access_method_routine	aBigama_viXi_nemakA#aBigama_viXi_nemakA#noun#3#RM
Access_mode	aBigama_viXA#aBigama_viXA#noun#2#RM
Access_name_table	aBigama_nAma_sAraNI#aBigama_nAma_sAraNI#noun#3#RM
Access_path	aBigama_paWa#aBigama_paWa#noun#2#RM
Access_privilege	aBigama_viSeRAXikAra#aBigama_viSeRAXikAra#noun#2#RM
Access_right	aBigama_aXikAra#aBigama_aXikAra#noun#2#RM
Access_scan	aBigama_kramavIkRaNa#aBigama_kramavIkRaNa#noun#2#RM
Access_security	aBigama_surakRA#aBigama_surakRA#noun#2#RM
Access_server	aBigama_parisevaka#aBigama_parisevaka#noun#2#RM
Access_structure	aBigama_saMracanA#aBigama_saMracanA#noun#2#RM
Access_time	aBigama_kAla#aBigama_kAla#noun#2#RM
Access_unit	aBigama_ekaka#aBigama_ekaka#noun#2#RM
Account_number	KAwA_safKyA#KAwA_safKyA#noun#2#RM
Account_package	leKA_pEkeja#leKA_pEkeja#UNDEFINED#1#RM
Acknowledge_frame	aBisvIkAra_Prema#aBisvIkAra_Prema#noun#2#RM
Acoustic_coupler	Xvanika_yugmaka#Xvanika_yugmaka#noun#2#RM
Acoustic_coupling	Xvanika_yugmana#Xvanika_yugmana#noun#2#RM
Acoustic_delay_line	Xvanika_vilamba_lAina#Xvanika_vilamba_lAina#noun#3#RM
Acoustic_digitizer	Xvanika_afkaka#Xvanika_afkaka#noun#2#RM
Acoustic_memory	Xvanika_smqwi#Xvanika_smqwi#noun#2#RM
Acoustic_modem	Xvanika_moYdema#Xvanika_moYdema#noun#2#RM
Acoustic_signal	Xvanika_safkewa#Xvanika_safkewa#noun#2#RM
