#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
###############################################################################	###############################################################################
abandon_noun	pariwyAga_karanA
abandoned_noun	pariwyakwa/wyakwa
aberration_noun	vipaWana
ablation_noun	apakRaraNa
ablative_noun	apakRaraka
abort_noun	viPala
abrasion_noun	apaGarRaNa
abrasiveness_noun	apaGarRiwA
absorbency_noun	avaSoRaNAfka/avaSoRakawA
absorber_noun	avaSoRaka
absorptance_noun	avaSoRaNAMSa
absorption_noun	avaSoRaNa
absorptivity_noun	avaSoRakawA
abundance_noun	bAhulya/bahulawA
academic_noun	SEkRika/SEkRaNika
acceleration_noun	wvaraNa
accelerator_noun	wvaraka/wvariwra
accelerograph_noun	wvaraNaleKI/eksilarogrAPa
accelerometer_noun	wvaraNamApI
acceptability_noun	svIkAryawA
access_noun	aBigama
accessibility_noun	aBigamyawA
acclimatization_noun	paryanukUlana/xaSAnukUlana
accommodate_noun	samaFjana_karanA/samAveSa
accommodation_noun	samAveSana/samaFjana
accompanying_noun	saMlagna/sAWa_kA
accomplish_noun	pUrA_karanA
accomplishment_noun	upalabXi
accretion_noun	aBivqxXi
accumulation_noun	saFcaya/saFcayana
accumulator_noun	saFcAyaka/saFcAyaka_sela
accuracy_noun	pariSuxXawA/yaWArWawA
acetylene_noun	EsItilIna
acicular_noun	sUcyAkAra
acoustic_noun	XvAnika/Xvanika
acoustics_noun	XvAnikI/Xvani-vijFAna
acquire_noun	arjana_karanA/upArjana_karanA/aXigrahaNa_karanA
acquired_noun	upArjiwa/arjiwa/aXigrahIwa
acquisition_noun	arjana/aBigrahaNa/aXigrahaNa
acrylate_noun	ekrIleta
acrylonitrile_noun	ekrilonAitrAila
action_noun	kriyA
activation_noun	sakriyaNa
activator_noun	sakriyaka/sakriya_kAraka
activity_noun	sakriyawA
actuator_noun	pravarwaka
acutance_noun	nyUnawva
acyclic_noun	acakrIya
adaptability_noun	anukUlawA
adaptation_noun	anukUlana
adapter_noun	edEptara/anukUlaka
added_noun	saMvarXiwa
adder_noun	yojaka/safkalaka
addition_noun	yoga/joda
additive_noun	yojanI/yojya
address_noun	pawA
addressograph_noun	pawA-leKI/EdresogrAPa
adhesion_noun	AsaFjana
adhesive_noun	AsaFjaka
adiabat_noun	EdiyAbeta
adiabatic_noun	ruxXoRma/EdiyAbetika
adiabaticity_noun	ruxXoRmiwA
adjacent_noun	Asanna/saMlagna
adjunction_noun	sahabanXana
admixture_noun	aXimiSraka
adsorption_noun	aXiSoRaNa
advection_noun	aBivahana
advisory_noun	salAhakAra
aegis_noun	wawvAvaXAna
aeolian_noun	vAwoDa/vAyUDa/vAyugAmI/vAyuvAhiwa
aerial_noun	eriyala/vAyava/AkASI
aero_noun	vAyu
aerodynamic_noun	vAyugawika/vAyugawikIya
aerodynamics_noun	vAyugawikI
aeroelasticity_noun	vAyuprawyAsWawA
aeroelastics_noun	vAyuprawyAsWikI
aerofoil_noun	vAyupawraka
aerograph_noun	vAyuleKI
aeronautical_noun	vEmAnika_iMjIniyarI
aeronomy_noun	vAyavikI
aeropause_noun	vAyu_sImAnwa
aerophone_noun	EroPona
aerophysics_noun	vAyuBOwikI
aeroplane_noun	vimAna/havAI_jahAja
aeroplex_noun	Eropleksa
aerosol_noun	ErosoYEYEYEYla
aerospace_noun	vAnwarikRa/vAyu_AkASa
aerosphere_noun	vAwamaNdala
aerostat_noun	vAyusWApI/avayAna
aerostatics_noun	vAyusWEwikI
aerothermodynamics_noun	vAyuRmAgawikI
aerothermoelasticity_noun	vAyuRmAprawyAsWawA
affect_noun	praBAviwa_karanA
after-effect_noun	paSca_praBAva
afterflow_noun	paSca_pravAha
agamy_noun	ayugmanI
agglomeration_noun	samUhana/sampiMdana
aggradation_noun	aXivqxXi/waloccana
aging_noun	kAla_praBAvana/jaraNa
agitation_noun	prakRoBana
agravic_noun	guruwvahIna
aharonov-bohm-_noun	ehAronova-boma
aileron_noun	sahapakRa
air_noun	vAyu/havA/vAwa
airborne_noun	vAyuvarwI/havAI
aircraft_noun	vAyuyAna
airdose_noun	vAyumAwrA
airglow_noun	vAyuxIpwi
alacrity_noun	wawparawA
albedo_noun	elbido
albedometer_noun	elbidomApI
alcohol_noun	alkohoYla
alert_noun	cewAvanI
algebra_noun	bIjagaNiwa/ElajebrA/bIjAvalI
algebraic_noun	bIjIya
