#telecommunication dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#telecommunication dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#########################################################################################	#########################################################################################
acceleration_noun	wvaraNa
accelerometer_noun	wvaraNa_mApaka
accident_noun	xurGatanA
accommodate_noun	samaFjana
accomodating_noun	samaFjaka
acting_noun	kAryakArI
adaptor_noun	anukUlaka
aerial_noun	vAyavIya/eriyala
alighnment_noun	saMreKaNa
ampere_noun	eMpIyara
amplification_noun	pravarXana
amplifier_noun	pravarXaka
amplitude_noun	AyAma
annode_noun	enoda
annular_noun	valayakAra
annunciator_noun	sAfkewika_suI
antenna_noun	eMtenA
apparatus_noun	upakaraNa
appliances_noun	sAXana
arc_noun	cApa/Arka
arm_noun	BujA
armature_noun	Armecara
attenuation_noun	kRINana/kRINawA
audiable_noun	SrAvya
audio_noun	Sravya
automotic_noun	svacala/svacAliwa
axle_noun	XurA
bass_noun	manxra
battery_noun	bEtarI
beam_noun	bIma/kiraNa
beat_noun	spanxana/vispanxana
bell_noun	GaNtI
berm_noun	upawata
binary_noun	xviafkI/xviAXArI
bipolar_noun	xviGruvIya
bistable_noun	xvisWiwika
block_noun	bloYka/KaNda/avaroXa
board_noun	Palaka/borda/patta
bond_noun	banXa/banXaka
cabin_noun	kEbina
cable_noun	kebala
cancellation_noun	nirasana/raxxa_karanA
capacitor_noun	sanXAriwra
capping_noun	UparI_pattI
carrier_noun	XAraka/vAhaka
catalyst_noun	uwpreraka
centrifugal_noun	upakeMxrIya
centripetal_noun	aBikeMxrIya
charactercomputer_)_noun	akRara_(kampyUtara)
circuit_noun	paripaWa
circulating_noun	parisaFcArI
circulation_noun	parisaFcaraNa
clamp_noun	klEMpa
classification_noun	vargIkaraNa
code_noun	kUta
coding_noun	safkewana
coefficent_noun	guNAfka
coil_noun	kuNdalI
communication_noun	saFcAra
compensator_noun	kRawipUraka
computer_noun	kampyUtara
concave_noun	avawala
conductivity_noun	saMvAhakawA
conductor_noun	saMvAhaka
conduit_noun	vAhaka_nalI
conical_noun	Safkurupa
contact_noun	samparka
convertor_noun	samparivarwaka
convex_noun	uwwala
counter_noun	gaNaka/kAuNtara
crank_noun	krEMka
creep_noun	sapaMNa
cummutator_noun	xikpiravarwaka
current_noun	XArA/bijalI/kareMta
curvature_noun	vakrawA
curve_noun	vakra
dead_noun	niRkriya
demodulation_noun	dimoYdUlana
density_noun	Ganawva
depolarisation_noun	niXruvaNa
derailer_noun	direlara
derailment_noun	patarI_se_uwaranA
design_noun	aBikalpa
detection_noun	paricAyana
detector_noun	paricAyaka
detonator_noun	PatAKe
digit_noun	afka
disc_noun	cakawI
disengager_noun	viyojaka
diverging_noun	vigamana/apasArI
e-mail_noun	I-mela
earthing_noun	BUyojana
echo_noun	gUFja/prawiXvani
elevation_noun	uwWAna
elliptical_noun	xIrGa_vqwwAkAra
emersion_noun	unmIlana/uxaHgaRtimana
energise_noun	Urjana
equaction_noun	samIkaraNa
equalisation_noun	samakaraNa
equipment_noun	upaskara
exchange_noun	keMxra/AxAna-praxAna
expander_noun	viswAraka
explosives_noun	visPotaka
failure_noun	KarAba/xoRa
feed_noun	BaraNa/samBaraNa
feeder_noun	samBaraka
filament_noun	wanwu
filter_noun	CannI
flag_noun	JaNdI
flap_noun	pallA/pallexAra
flasher_noun	kOMXaka
focus_noun	nABI
force_noun	bala
frequency_noun	Avqwwi
fuse_noun	PyUja
galvanised_noun	gElvanIkqwa
galvanometer_noun	gElvanomItara
gantry_noun	ganwrI
generator_noun	janiwra
gong_noun	GaNtI
graph_noun	leKA_ciwra
gravitational_noun	guruwvAkarRaNa
gravity_noun	guruwva
holder_noun	XAraka
hollow_noun	KoKalA
ignition_noun	prajvalana
illumination_noun	praxIpwi/prakASa_vyavasWA
impedence_noun	avabAXA
impulse_noun	Avega
incapacitation_noun	asAmaWrya
indication_noun	safkewa
indicator_noun	safkewaka/sUcaka
inductance_noun	prerakawA
induction_noun	preraNa
infringement_noun	awilafGana
input_noun	anwargAmI
insertion_noun	sinnaveSa
installation_noun	saMsWApana
instantaneous_noun	wAwkRaNika
instrument_noun	upakaraNa
insulation_noun	vixyuwaroXana/visaMvAhana
insulator_noun	vixyuwaroXaka
integrated_noun	samAkaliwa
integration_noun	samAkalana
intensity_noun	wIvrawA
interlocking_noun	anwarpASana
intermittent_noun	savirAma/anwarAyika
internet_noun	iMtaraneta
interpolation_noun	anwarveSana
interruption_noun	anwarAyaNa/avaroXa
inverter_noun	inavartara
ionisation_noun	AyanIkaraNa
ionosphere_noun	Ayana_maNdala
isolation_noun	pqWakkaraNa/viyojana
joint_noun	joda
jumper_noun	jampara
key_noun	kuFjI/cAbI
keying_noun	kuFjIyana
kinks_noun	eeMTana
knob_noun	GuNdI
layout_noun	vinyAsa
leakage_noun	kRaraNa/risAva
leakproof_noun	risAva_saha
level_noun	samawala
limiter_noun	sImiwra
link_noun	kadI
loop_noun	lUpa
loudness_noun	prabalawA
lubrication_noun	snehana
magnetism_noun	cumbakawva
magnetron_noun	mEganetrona
