#telecommunication multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#telecommunication multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
absolute_block	pUrNa_bloYka#pUrNa_bloYka#noun#2#RM
absolute_block_working	pUrNa_bloYka_kAryacAlana#pUrNa_bloYka_kAryacAlana#noun#3#RM
accomodating_crank	samaFjakakArI_krEMka#samaFjakakArI_krEMka#noun#2#RM
accoustic_horn	Xvanika_wUrya#Xvanika_wUrya#noun#2#RM
adequate_distance	paryApwa_xUrI#paryApwa_xUrI#noun#2#RM
adjusting_apparatus	samaFjaka_upakaraNa#samaFjaka_upakaraNa#noun#2#RM
adjusting_cabin_wire	samaFjaka_kebina_wAra#samaFjaka_kebina_wAra#noun#3#RM
adjusting_crank	samaFjaka_krEMka#samaFjaka_krEMka#noun#2#RM
adjusting_screw	samaFjaka_peMca#samaFjaka_peMca#noun#2#RM
advance_screw	agrima_peMca#agrima_peMca#noun#2#RM
advance_signal	agrima_siganala#agrima_siganala#noun#2#RM
aerial_current	eriyala_kareMta#eriyala_kareMta#noun#2#RM
aerial_frequency_control	vAyavIya_Avqwwi_niyanwraNa#vAyavIya_Avqwwi_niyanwraNa#noun#3#RM
aerial_gain	vAyavIya_lABa#vAyavIya_lABa#noun#2#RM
aerial_radiation_resistance	vAyavIya_vikiraNa_prawiroXaka#vAyavIya_vikiraNa_prawiroXaka#noun#3#RM
aerial_resistance	vAyavIya_prawiroXaka#vAyavIya_prawiroXaka#noun#2#RM
aerial_system	vAyavIya_praNAlI#vAyavIya_praNAlI#noun#2#RM
alternating_current	prawyAvarwI_XArA#prawyAvarwI_XArA#noun#2#RM
amplification_factor	pravarXana_guNaka#pravarXana_guNaka#noun#2#RM
angle_of_polarisation	XruvaNa_koNa#XruvaNa_koNa#noun#3#RM
angle_slide	koNa_pattI#koNa_pattI#noun#2#RM
angle_straight	Qju_koNa#Qju_koNa#noun#2#RM
annode_modulation	enoda_mAdUleSana#enoda_mAdUleSana#noun#2#RM
appartus_foundation	upakaraNa_AXAravalaya#upakaraNa_AXAravalaya#noun#2#RM
approach_control	Agama_niyanwraNa#Agama_niyanwraNa#noun#2#RM
approach_lighting	praveSa_prakASana#praveSa_prakASana#noun#2#RM
approach_locking	pahuFca_pASana#pahuFca_pASana#noun#2#RM
approach_restricted_speed_aspects	pahuFca_gawiprabanXaka_pakRa#pahuFca_gawiprabanXaka_pakRa#noun#4#RM
approach_signal	pahuFca_siganala#pahuFca_siganala#noun#2#RM
approach_signal_lighting	pahuFca_siganala_prakASa#pahuFca_siganala_prakASa#noun#3#RM
approach_track_circuit	rela_Agamana_paripaWa#rela_Agamana_paripaWa#noun#3#RM
approaching_train	AnevAlI_gAdI#AnevAlI_gAdI#noun#2#RM
arm_contact	samparka_BujA#samparka_BujA#noun#2#RM
arm_radial	ArIya_BujA#ArIya_BujA#noun#2#RM
arm_repeater	anucArI_BujA#anucArI_BujA#noun#2#RM
aspect_signal	siganala_pakRa#siganala_pakRa#noun#2#RM
asymmetric_deflection	viRama_vikRepa#viRama_vikRepa#noun#2#RM
audio_range	Sravya_xUrI#Sravya_xUrI#noun#2#RM
auto_surge	svAroha#svAroha#noun#2#RM
automatic_frequency_control	svacAliwa_Avqwwi_niyanwraNa#svacAliwa_Avqwwi_niyanwraNa#noun#3#RM
automatic_gain_control	svacala_lABa_niyanwraNa#svacala_lABa_niyanwraNa#noun#3#RM
automatic_signal	svacala_siganala#svacala_siganala#noun#2#RM
automatic_signalled_territory	svacAliwa_siganala_kRewra#svacAliwa_siganala_kRewra#noun#3#RM
automatic_telephone_exchange	svacAliwa_telIPona_keMxra#svacAliwa_telIPona_keMxra#noun#3#RM
automatic_telephone_system	svacala_telIPona_praNAlI#svacala_telIPona_praNAlI#noun#3#RM
automatic_train_control	svacAliwa_gAdI_niyanwraNa#svacAliwa_gAdI_niyanwraNa#noun#3#RM
automatic_train_stop	svacAliwa_gAdI_roka#svacAliwa_gAdI_roka#noun#3#RM
automatic_tunning_control	svacala_svaraNa_niyanwraNa#svacala_svaraNa_niyanwraNa#noun#3#RM
automatic_warning_system	svacala_cewAvanI_praNAlI#svacala_cewAvanI_praNAlI#noun#3#RM
automotic_block_signalling	svacAliwa_bloYka_siganala_vyavasWA#svacAliwa_bloYka_siganala_vyavasWA#noun#3#RM
auxiliary_light	upasafgI_prakASa#upasafgI_prakASa#noun#2#RM
axle_counter	XurA_gaNaka#XurA_gaNaka#noun#2#RM
back_blinker	piCalA_kOMXaka#piCalA_kOMXaka#noun#2#RM
back_board	piCalA_patta#piCalA_patta#noun#2#RM
back_contact	piCalA_samparka#piCalA_samparka#noun#2#RM
back_light	piCalI_bawwI#piCalI_bawwI#noun#2#RM
back_light_blinder_signal	siganala_ke_ADa_kI_piCalI_bawwI#siganala_ke_ADa_kI_piCalI_bawwI#noun#4#RM
back_light_signal	piCalI_bawwI_siganala#piCalI_bawwI_siganala#noun#3#RM
back_locking	piCalA_parxA#piCalA_parxA#noun#2#RM
balance_lever	sanwulana_lIvara#sanwulana_lIvara#noun#2#RM
balance_weight	sanwulana_BAra#sanwulana_BAra#noun#2#RM
balancing_network	sanwulana_wanwra#sanwulana_wanwra#noun#2#RM
band_switch	bEMda_svica#bEMda_svica#noun#2#RM
banner_flag	roka_pawAkA#roka_pawAkA#noun#2#RM
banner_signal	JaNdA_siganala#JaNdA_siganala#noun#2#RM
banner_type_repeater_signal	pawAkA_prakAra_kA_punarAvarwa_siganala#pawAkA_prakAra_kA_punarAvarwa_siganala#noun#4#RM
beam_light	kiraNa_prakASa#kiraNa_prakASa#noun#2#RM
beat_frequency	spanxana_Avqwi#spanxana_Avqwi#noun#2#RM
beat_frequency_oscillator	vispanxana_Avqwi_xolaka#vispanxana_Avqwi_xolaka#noun#3#RM
bell_code_signal	GaNtI_kUta_siganala#GaNtI_kUta_siganala#noun#3#RM
bell_signal	siganala_GaNtI#siganala_GaNtI#noun#2#RM
block_back	paSca_bloYka#paSca_bloYka#noun#2#RM
block_back_section	paSca_bloYka_sekSana#paSca_bloYka_sekSana#noun#3#RM
block_diagram	bloYka_AreKa#bloYka_AreKa#noun#2#RM
block_forward	agra_bloYka#agra_bloYka#noun#2#RM
block_gear	bloYka_giyara#bloYka_giyara#noun#2#RM
block_indicator	bloYka_safkewa#bloYka_safkewa#noun#2#RM
block_instrument	bloYka_upakaraNa#bloYka_upakaraNa#noun#2#RM
block_instrument_section	bloYka_upakaraNa_sekSana#bloYka_upakaraNa_sekSana#noun#3#RM
block_interlocking_system	bloYka_anwarpASana_praNAlI#bloYka_anwarpASana_praNAlI#noun#3#RM
block_joint	bloYka_joda#bloYka_joda#noun#2#RM
block_post	bloYka_posta#bloYka_posta#noun#2#RM
block_section	bloYkana_sekSana#bloYkana_sekSana#noun#2#RM
block_section_limit_board	bloYka_sekSana_sImA_borda#bloYka_sekSana_sImA_borda#noun#4#RM
block_signal	bloYka_siganala#bloYka_siganala#noun#2#RM
block_station	bloYka_steSana#bloYka_steSana#noun#2#RM
block_switch	bloYka_svica#bloYka_svica#noun#2#RM
block_system	bloYka_praNAlI#bloYka_praNAlI#noun#2#RM
block_working	bloYka_saFcAlana#bloYka_saFcAlana#noun#2#RM
bond_impedence	roka_banXa#roka_banXa#noun#2#RM
bond_plug	plaga_banXa#plaga_banXa#noun#2#RM
bond_resonated_impedence	saspanxiwa_roka_banXa#saspanxiwa_roka_banXa#noun#3#RM
bond_transformer_impedance	trAMsaPoYrmara_roka_banXa#trAMsaPoYrmara_roka_banXa#noun#3#RM
bottom_contact	nicalA_samparka#nicalA_samparka#noun#2#RM
bottom_roller	wala_belana#wala_belana#noun#2#RM
braking_distance_emergency	ApAwa_kAla_meM_breka_lagAne_para_waya_kI_gayI_xUrI#ApAwa_kAla_meM_breka_lagAne_para_waya_kI_gayI_xUrI#noun#3#RM
breaking_distance_service	sAmAnya_wOra_para_breka_lagAne_para_waya_kI_gayI_xUrI#sAmAnya_wOra_para_breka_lagAne_para_waya_kI_gayI_xUrI#noun#3#RM
busy_tone	vyaswa_svara#vyaswa_svara#noun#2#RM
by_pass	upa_mArga/bAhya_paWa#upa_mArga/bAhya_paWa#noun#2#RM
by_pass_condenser	bAhya_paWa_XAriwra#bAhya_paWa_XAriwra#noun#3#RM
cab_signal	kEba_siganala#kEba_siganala#noun#2#RM
calling_on	bulAvA#bulAvA#noun#2#RM
calling_on_signal	bulAvA_siganala#bulAvA_siganala#noun#3#RM
calling_rate	bulAvA_xara#bulAvA_xara#noun#2#RM
carrier_channel	vAhaka_nalI#vAhaka_nalI#noun#2#RM
carrier_equipment	vAhaka_upaskara#vAhaka_upaskara#noun#2#RM
carrier_facility	vAhaka_suviXA#vAhaka_suviXA#noun#2#RM
carrier_frequency	vAhaka_Avqwwi#vAhaka_Avqwwi#noun#2#RM
carrier_telephony	vAhaka_telIPonI#vAhaka_telIPonI#noun#2#RM
carrier_transmission	vAhaka_saFcAraNa/vAhaka_saFcAraNa#vAhaka_saFcAraNa/vAhaka_saFcAraNa#noun#2#RM
carrier_wave	vAhaka_warafga#vAhaka_warafga#noun#2#RM
catch_block	pakada_bloYka#pakada_bloYka#noun#2#RM
catch_handle	pakada_xaswA#pakada_xaswA#noun#2#RM
catch_handle_controller	pakada_xaswA_niyanwraka#pakada_xaswA_niyanwraka#noun#3#RM
catch_handle_interlocking	pakada_xaswA_anwarpASana#pakada_xaswA_anwarpASana#noun#3#RM
catch_point	pakada_biMxu#pakada_biMxu#noun#2#RM
catch_rod	pakada_Cada#pakada_Cada#noun#2#RM
catch_siding	kEca_sAidiMga#kEca_sAidiMga#noun#2#RM
caution_aspect	sawarkawA_pahalU#sawarkawA_pahalU#noun#2#RM
caution_indication	sawarkawA_safkewa#sawarkawA_safkewa#noun#2#RM
caution_notice	sawarkawA_sUcanA#sawarkawA_sUcanA#noun#2#RM
caution_position	sawarkawA_sWiwi#sawarkawA_sWiwi#noun#2#RM
centralised_traffic_control_centre	keMxrIkqwa_yAwAyAwa_niyanwraNa_keMxra#keMxrIkqwa_yAwAyAwa_niyanwraNa_keMxra#noun#4#RM
change_over_contract	baxala_samparka#baxala_samparka#noun#3#RM
check_locking	jAFca_pASana#jAFca_pASana#noun#2#RM
circuit_breakers	paripaWa_viyojaka#paripaWa_viyojaka#noun#2#RM
circuit_controller	paripaWa_niyanwraka#paripaWa_niyanwraka#noun#2#RM
