#land-mine_noun	maMxupAwara
%awning_noun	cAMxini/RAmiyAnA
'I-am-He'-or-`the-Deity-and-I-are-one'_UNDEFINED	sohaM
(child-language)-to-convey-their-opposition-towards-others_adjective	TIkoVttu
(to-use-neg.-con.)-to-remove-skin_adjective	wiwwi_oVlucu/wiwwi_wIyu
+-ee-emphatic-suffix-that-itself_pronoun	axe
,--fifth-day-of-a-lunar-fortnight_noun	paMcami
,-abundance,-plenty_noun	maswu
,-dust,-hairy-covering-of-leaves-and-stalks_noun	nUgu
,-flower,-lotus_noun	paxmaM
,-knot-grass_noun	gAxaM
,-text,-content,-lesson,_noun	pATaM
.-fish_noun	mInaM
.-to-revere_verb	pUjiMcu
@Vaishnavite-religious-beggar_noun	xAsari
@Yoga_noun	yogaM
@Yuva_noun	yuva
A-thing-which-brings-back-the-dead-to-life_noun	mqwasaMjIvani/mqwasaMjIvi
Abyssinian_noun	sixxi[i]
Acinonyx-jubatus_noun	ciruwa/vyAGra
Adam's-apple_noun	kaMTamaNi
Ag_noun	rajiwamu
Agastya_noun	agaswyudu
Agency-tracts-of-Andhra-Pradesh_noun	manneVM/manyaM
Aghan_noun	agrahAyANamu/cukkaneVla/hEmanamu/mArgaSiramAsamu/mArgaSiramu/mArgaSIrRamu/mArgAyaNi/paMduganeVla
All-India-Radio_noun	AkASavANi
Allah_noun	allA
Almighty-power_noun	yogamAya
An-earliest-Sanskrit-thesaurus_noun	amaraM
Anacardium-occidentale_noun	agraBIjamu/jIdipappu/muMwamAmidi_pappu
Andhra_noun	AMXrudu
Andhra_verb	AMXra
Andhrite_noun	AMXrudu
Apium-graveolens-dulce_noun	sugaMXaxravyamu/vAmu
Aquarius_noun	kuMBaM
Arab_adjective	arabbI
Arab_noun	arabbudu
Arabian_adjective	arabbI
Archimedes'-screw_noun	maragoVttaM
Argentinum_noun	veVMdi
Aries_noun	meRaM
Arjuna's-bow_noun	gAMxIvaM
Arjuna_noun	arjunudu/kapiXvajudu
Aryan_adjective	Arya
Asadha_noun	ARAdamu/ARAda_waruvAwa_vaccexi/BArawa_xeSa_neVlalo_oVkati
Asarh_noun	ARAdamu/ARAda_waruvAwa_vaccexi/BArawa_xeSa_neVlalo_oVkati
Asia_noun	AsiyA
Asin_noun	aSvani/wiXulu
Asvina_noun	aSvani/wiXulu
Au_noun	baMgAraM/kanakamu/suvarNamu/viluvEna_vaswuvu
Ayurveda_noun	AyurvexaM
Ayurvedic-medicine_noun	anupAnaM
Ayurvedic-physician_noun	XanvaMwari
Ayurvedic-remedy-against-biliousness_noun	pEwyAMwakaM
Ayurvedic-tonic_noun	xrAkRAriRta
Ayurvedic-treatment-designed-to-bring-about-rejuvenation_noun	kAyakalpana_cikiwsa
Azadirachta-indica_noun	vepa_ceVttu/vepa
BM_noun	malamu/purIRamu
Badarayana_noun	bAxarAyaNudu
Badrinath_noun	baxari
Baisakh_noun	vayyASi/vESAKamu
Bakasura_noun	bakAsurudu
Bay-of-Bengal_noun	baMgAlYA_KAwaM
Bellary-and-Anantapur_noun	xawwamaMdalaM
Benares_noun	banArasu/kASI
Bengal_noun	baMgAlYaM/vaMgaM/vaMgaxeSaM
Bengali_adjective	vaMga
Bengali_noun	vaMgIyudu
Bengali_verb	vaMga
Berlin_noun	beVrlin
Bhadon_noun	BAxrapaxamAsamu/BAxra_paxamu
Bhadrapada_noun	BAxrapaxamAsamu/BAxra_paxamu
Bhagiratha_noun	BagIraWudu
Bharata-Natyam_noun	BarawanAtyaM
Bhil_noun	Billu
Bhima_noun	BImasenudu/BImudu
Bhishma_noun	BIRmudu/kuruvqxudu
Boya-community_noun	boya
Brahma's-knot_noun	brahmamudi
Brahma_noun	wrimUrwulu
Brassica-oleracea-botrytis_noun	kyAbeji/muttakosakUra/poVtla_puvvu/poVtla_puvvu_rUpu_kalaxi
Brassica-rapa_noun	kaMxagadd/kaMxa_xuMpa
Brazil-cherry_noun	bUsarakAya
Britain_noun	vilAwi/vilAyawi
Britisher_noun	weVllAdu/weVllavAdu
Buddha_noun	buxXudu
Buddhism_noun	bOxXaM
Buddhist-monastery_noun	ArAmaM
Buddhist-monk_noun	BikRuvu/SramaNudu
Buddhist-monument-in-the-form-of-a-hemispherical-mound_noun	swUpaM
Buddhist-nun_noun	SramaNi
Buddhist-shrine-or-place-of-worship_noun	cEwyaM
Buddhist_adjective	bOxXa
Buddhist_verb	bOxXa
Caitra_noun	cEwra_mAsamu/cEwramu/ciwrineVla
Camellia-sinensis_noun	tI/wenIru
Canis-familiaris_noun	kukka/Sunakamu
Captain-Hicks_noun	Arava/Aru
Ceded-Districts_noun	xawwamaMdalaM
Chairman_noun	aXyakRudu
Chait_noun	cEwra_mAsamu/cEwramu/ciwrineVla
Chaitra_noun	cEwraM
Chamber-of-Commerce_noun	vANijyamaMdali
Chancellor_noun	aXyakRudu
Chenchu_noun	ceVMcu
Chief-Justice_noun	praXAna_nyAyamUrwi
Chief-of-the-army_noun	senAXipawi
Chinese-lantern_noun	gummataM
Christ_noun	krIswu
Christian-era_noun	krIswuSakaM
Christian-gospel_noun	SuBavArwa
Christian_adjective	krEswava/krIRtiyanu
Christian_verb	krEswava
Christianity_noun	krEswava_mawaM/krIRtiyAliti
Cnidosporidia_verb	loniki_neVttu/poVdcu/xUrcu
Cocos-nucifera_noun	koVbbariceVttu/nArikelYamu_ceVttu/teVMkAyaceVttu
Collair-lake_noun	koVlleru
Coromandel-ebony_noun	wUki/wuniki
Creator_noun	brahma
Cu_noun	rAgi/rAgi_rasAyanika_saMKya_/rakwaXAwuvu/sUryAhvAmu/uxuMbaramu/wAma_rasamu/wAmrakamu/wapwarUpakamu
Cucumis-melo_noun	karbUjakAya/peVxxa_xosakAya/puccakAya
Cucurbita-pepo_noun	kavacaM/vala
Cuddapah_noun	rAyalasIma
Cupid's-arrow_noun	manmaWabANaM
Cupid_noun	asamasarudu/ikRuXanvudu/manmaWudu/marudu/mArudu/maxanudu
DO_adjective	ni/nu
Dabbu-~-money-and-such-things_noun	gatra
Delhi_noun	DillI
Deputy-Speaker_noun	upasaBApawi/upAXyakRudu
Dharmaraju_noun	XarmarAju
Dipavali_noun	xIpAvalYi
Dominicus_noun	AxivAramu/AxiwyavAramu/BAnuvAramu/ravivAramu/woVlivAramu
Dravidian_adjective	xravida/xrAvida
Durga_noun	AxiSakwi/xurga/xurgi
Durgi_noun	xurga/xurgi
Duryoodhana_noun	rArAju
Easter-day_noun	punaruwWAna_xinaM
Elettaria-cardamomum_noun	elaki/elakkAya/elakulu/mAleyamu/meRa_elakikAya/pqWvika/yAlakkAya
Eng--boring_adjective	boru
Eng.--ism_noun	ijaM
English-person_noun	AMgleyudu
English-usage-sometimes-requires-a-different-preposition-in-translation_preposition	lo
English-woman_noun	xoVrasAni
English_adjective	AMgla/AMgleya
English_noun	AMglaM
English_verb	AMgla
Englishman_noun	xoVra
Equus-caballus_noun	aSvamu/gurraM/sAhu
Fe_noun	inumu/lohaM
Ficus-carica_noun	aMjIra/aMjIravqkRaM
Finance-Department_noun	ArWika_SAKa
Fri_noun	lakRmivAraM/SukravAraM
Friday_noun	lakRmivAraM/SapakravAraM/SukravAraM
Gandharva_noun	gaMXarvudu
German-silver_noun	silvaru
Germany_verb	jarmanI
Goa_noun	govA
God's-mystical-power_noun	mAya
God's-presence_noun	wirusanniXi
God-Brahma_noun	brahma
God-Krishna_noun	kqRNa
God-Siva_noun	arXanArIsvarudu/maheSvarudu/Sivudu
God-Vishnu_noun	viRNuvu
God-of-Death_noun	xaMdaXarudu
God-of-Love-whose-bow-is-made-of-sugarcane_noun	ikRuXanvudu
God-of-death_noun	bewAlYudu
God-of-fire_noun	agnihowrudu/pAcakudu
God-of-spring_noun	vasaMwudu
God-of-wealth_noun	XanAXipawi
God-the-Creator_noun	viXAwa/viXAwqdu
God_noun	animiRudu/AxipuruRudu/aXIsvarudu/BagavaMwudu/BagavAnudu/ISvarudu/jagannAXudu/karwa/lokeSvarudu/mAXavudu/nirAkArudu/nirvikArudu/parAwparudu/pEnavAdu/sarvafFadu/sarvAMwaryAmi/sarveSvarudu/sqRtikarwa/sqRtisWiwilayakArakudu/sUwraXAri/sUwraXArudu/svayaMBuvu/virAttu/viSvanAXudu/viXAwa/wrilokAxipawi/xayAmayudu/xevudu/xInabaMxuvudu
Goddess-Durga_noun	aMba
Goddess-Kali_noun	mahAkAlYi
Goddess-of-speech-and-learning_noun	sarasvawi
Goddess-of-wealth_noun	lakRmi
Gond_noun	goMxu
Governor-of-an-Indian-State_noun	rAjyapAludu
Greek_adjective	yavana
Greek_noun	grIku/yavanudu
H2O_noun	maMci_wIrXaM/nIlYlYu/nIru
HCF_noun	gariRta_sAmAnya_kAraNa_rAsi
Hamlet_noun	palleV
Hansen's-disease_noun	kuRturogaM/kuRtuvyAXi
Hanuman_noun	hanumaMwudu/hanuma
Hari!_adjective	harI_anu
Hari_noun	hari
Harijan_noun	harijanudu
He-who-is-above_noun	pEnavAdu
Hell_noun	naraka_lokaM/pApapu_lokamu/yamalokamu/yamasaxanamu
Hg_noun	pAxarasaM/rasAyana_paxArXamu
Himalayan-cedar_noun	xevaxAru[vu]
Himalayas_noun	SIwanagaM
Hindu-astrologer_noun	avaXAni
Hindu_adjective	hEMxava
Hindu_noun	hiMxuvu
Hindu_verb	hEMxava
Hindusthan_noun	hiMxusWAnaM
Hiranyaksha_noun	hiraNyAkRudu
