A-level_noun	ucca_swarIya
A-road_noun	muKya_mArga
AA_noun	e_e
ABC_noun	varNamAlA/prAWamika_jFAna
ABCs_noun	prAWamika_jFAna
ABLS_noun	e_bI_ela_esa
ABS_noun	Ebsa
AB_noun	kalA_snAwaka
ACAS_noun	EkAsa
ACC_noun	e_sI_sI
ACE_noun	alAida_kamANda_yUropa
AC_noun	esI/es
ADC_noun	e_dI_sI
AGM_noun	e_gI_ema
AIDS_noun	edsa/edsa{bImArI}
AI_noun	e._AI.
ANO_noun	e_ena_o
ANSI_noun	ANSI
APR_noun	e_pI_Ara
ASA_noun	e_esa_ea
ASCII_noun	EskII
ASG_noun	e_esa_jI
ATL_noun	ATlY
AWACS_noun	avEksa
A_noun	e
Ab_noun	oYba
Abadan_noun	abAxAna
Abdias_noun	ebdAyasa
Abel_noun	ebala
Aberdeen_noun	EbaradIna
Abidjan_noun	abijAna
Abies_noun	xevaxAra
Abo_noun	oYstreliyAI_AxivAsI
Abor_noun	ebOra
Aboriginal_noun	oYstreliyAI_AxivAsI
Aborigine_noun	oYstreliyAI_AxivAsI/mUla_nivAsI
Abraham_noun	abrAhama
Abruzzi_noun	abrUjI
Abuja_noun	abUjA
Abukir_noun	abUkIra
Abydos_noun	abAidOsa
Abyssinia_noun	abisIniyA
Abyssinian_noun	abisIniyAI
Ac_noun	esII
Acadia_noun	akediyA
Acadian_noun	akediyAI
Acapulco_noun	akEpulko
Accho_noun	Eko
Accra_noun	AkarA
Achaean_noun	akIyAvAsI/akIyAI
Achaian_noun	akIyAvAsI/akIyAI
Acheron_noun	EkarOna
Acheson_noun	Ekisana
Achilles_noun	akilIja
Achromycin_noun	EkromAisina
Acinonyx_noun	Esinoniksa
Acre_noun	ekara
ActiveX_noun	Ektiva-eksa
Adam_noun	Edama/Axama
Adhan_noun	ajAna
Adrenalin_noun	Edrinalina
Advent_noun	IsA_masIha_kA_xubArA_Agamana/IsA_masIha_kA_pqWvI_para_Agamana
Afghan-hound_noun	laMmbe_bAlo_vAlA_kuwwA
Afghan_noun	aPagAnI/aPagAn/aPagAnavAsI/aPagAniswAnI_BARA
Afghani_noun	aPagAnI
Afghanistani_noun	aPagAnIvAsI
Africa_noun	aPrIkA
African-American_noun	amarIkI_kAlA_AxamI
African_noun	aPrarIkI_loga/aPrIkI
Afrikander_noun	aPrikEnI
Afrikaner_noun	aPrikEnI
Afro-American_noun	amarIkI_kAlA_AxamI
Afro_noun	EPro
Agriculture_noun	kqRi-viBAga
Aids_noun	edsa
Air-Chief-Marshal_noun	eara_cIPa_mArSala{vAyu_senA_kA_bahuwa_ucca_aXikArI}
Air-Commodore_noun	eara_kOmodora{vAyu_senA_kA_ucca_aXikArI}
Air-Vice-Marshal_noun	eara_vAisa_mArSala{vAyu_senA_kA_ucca_aXikArI}
Airbus_noun	vAyu-basa/havAI-basa
Akaba_noun	akAbA
Akka_noun	EkA
Akko_noun	Eko
Allah_noun	allAha
Alma-Mater_noun	jahAz_SikRA_pAI_vaha_saMsWA
Almighty_noun	ISvara
Alsatian_noun	eka_prakAra_kA_kuwwA/alseSiana
Alzheimer's-disease_noun	mAnasika_bImArI{jisameM_vyakwi_kI_yAxASwa_evaM_bolane_kI_Sakwi_calI_jAwI_hE}
America_noun	amarIkA
American_noun	amarIkI/amarIkA_vAsI
Americana_noun	amarIkI_vaswu
Americanism_noun	amarIkIvAxa
Amerindian_noun	amarIkI_nivAsI
Anglican_noun	girajAGara_ke_saxasya
Anglo-American_noun	Afgla-britiSa_mUla_kA_amarIkI_vyakwi
Anglo-Catholic_noun	Efglo-kEWolika
Anglo-Saxon_noun	prAcIna_kAlIna_afgreja/prAcIna_afgrejI_BARA/Efglo-sEksana
Anglophile_noun	AfglarAgI
Anglophobe_noun	Afgrejiyawa-viroX/AfglaBIrU
Angola_noun	afgolA
Angora_noun	afgorA
Ankara_noun	afkArA
Antarctic_noun	xakRiNI_Xruva
Antipodes_noun	prawiXruva
Apostle_noun	XarmaxUwa
Apr_noun	aprEla
April-fool_noun	pahalI_aprEla_ko_banAyA_gayA_mUrKa
April_noun	aprEla/aprela_mAha
Aqaba_noun	akAbA
Aqualung_noun	svasana_upakaraNa
Aquarian_noun	kumBa_rASi_meM_janmA_vyakwi
Aquarius_noun	kumBa_rASi_meM_janmA_vyakwi/kumBa_rASi/kumBarASi/kumBa
Arab_noun	arabI_GodA/arabI
Arabia_noun	arebiyA
Arabic_noun	arabI
Arafat_noun	arAPAwa
Archer_noun	Xanu_rASi/Xanu
Area-code_noun	kRewrIya_koda
Argentina_noun	arjeNtInA
Aries_noun	meRa_rASi/meRa_rARi_meM_janmA_vyakwi
Arikaans_noun	aPrIkAzsa
Aristotelean_noun	araswUvAxI
Aristotelian_noun	araswUvAxI
Armageddon_noun	mahAyuxXa/anwima_yuxXa{bAibila}
Aryan_noun	Arya
Asamiya_noun	asamiyA
Asean_noun	esIyana
Ashoka_noun	aSoka
Asia_noun	eSiyA
Asian_noun	eSiyA_kA/eSiyAvAsI
Assam_noun	AsAma/asama
Assamese_noun	asamiyA/asamiy/AsAmI
Assoc_noun	safGa/sahAyaka
Athens_noun	eWeMsa
Atlantic_noun	etalANtika
Attorney-General_noun	mahAnyAyavAxI
Aug_noun	agaswa
August_noun	agaswa
Aussie_noun	oYstreliyAI
Australia_noun	oYstreliyA
Australian_noun	oYstreliyAI
Austria_noun	oYstriyA
Autocue_noun	xUra_anuboXaka/BARaNa-safkewana
Av_noun	oYva
Ave_noun	mArga
Averroes_noun	averoIja
Avestan_noun	aveswI
Avicenna_noun	EvisinA
Azaan_noun	ajAna
B-road_noun	gONa-mArga
B.Ed_noun	bI_eda
B.Sc_noun	bI.esa_sI
BASIC_noun	besika
BA_noun	kalA-snAwaka/bI_e
BBC_noun	bI_bI_sI
BC_noun	IsA_pUrva/I.pU.U
BIN_noun	bina
BRC_noun	bI_Ara_sII/bI_Ara_sI
BSE_noun	bI_esa_I
BSI_noun	bI_esa_AI
BST_noun	bI_esa_tI
BS_noun	bI_esa
BTS_noun	bI_tI_esa
Ba_noun	bI_e
Babygro_noun	bebIgro
Bakelite_noun	bEkalAita
Baldwin_noun	bAldavina
Bali_noun	bAlI
Band-aid_noun	cepaxAra_pattI
Baptist_noun	bapwismA_xAwA/bapawismA-xAwA
