ANSI_screen_control	e0_ena0_esa0_AI0_skrIna_niyanwraNa
ANSI_system	ena_sI_(e_ena_esa_AI_)_praNAlI
ASCII_code	AskI_koda
ASCII_control_character	AskI_niyanwraNa_samprawIka
ASCII_file	AskI_saFcikA
ASCII_file_transfer	AskI_saFcikA_anwaraNa
ASCII_font	AskI_PoYnta
ASCII_key_board	AskI_kuFjI_patala
ASCII_sort_order	AskI_CaNtAI_krama
ASCII_transfer	AskI_anwaraNa
AT_&_T_divestiture	e_tI_eMda_tI
AT_Keyboard	e_tI_kuFjI_patala
AT_bus	e_tI_basa
AT_command	e_tI_samAxeSa
AT_command_set	e_tI_samAxeSa_samuccaya
A_level	ucca_swarIya
B_cell	bI.koSikA
CD_drive	sIdI_drAiva
CPU_time	sIpIyU_kAla
FBI_agent	ePa_bI_AI_prawiniXi
FIFO_search	PIPo_anveRaNa
IBM_machine	AibIema_maSIna
ID_card	paricaya_pawra
ISO_protocol	AI_esa_o_protoYkola
ISO_standard	AI_esa_o_mAnaka
IT_service	sUcanA_prOxyogikI_sevA_vipaNana
LAN_operating_system	lEna_saFcAlana_wanwra
LAN_security_subcommittee	lEna_surakRA_upasamiwi
LAN_server	lEna_parisevaka
LIFO_search	liPo_anveRaNa
L_protocol_layer	ela_niyamAvalI_sawaha
MAC_protocol	mEka_protokoYla
MIS_Planner	ema_AI_esa_(prabanXana_sUcanA_wanwra_)Ayojana
NEWS_briefing	samAcAra_kA_vivaraNa_xenA
NOT_circuit	noYta_paripaWa
NOT_equivalence_gate	noYta_wulyawA_xvAra
NOT_operation	pUraka_safkriyA
N_P_completeness	ena_pI_sampUrNarwA
OR_element	AEYra_avyava
OR_gate	AEYra_xvAra
OR_mixer	aWavA_miSrraka
OR_operation	aWavA_safkriyA
POW_camp	pIodablU_Sivira
PTL_employee	pItIela_karmacArI
P_and_V_operation	pI_evaM_vI_pracAlana
P_and_v_semaphore	pI_evaM_vI_semAPEYAra
S_N_A	esa_ena_e_(_wanwra_netavarka_sWApawya)
TV_audience	tI_vI_xarSaka
TV_character	telivijana_kA_pAwra
TV_dinner	pUrva_wEyAra_rAwriBoja
T_carrier	tI_vAhaka
T_cell	tI.sela
T_flip-flop	tI_Plipa_PlEYApa
T_form_organization	tICaAkAra_safgaTana
T_type_flip-flop	tI_prakAra_kA_mAnaciwra
UN_agency	saMyukwa_rARtra_saMsWA
US_Cabinet	amarIkI_manwrimaNdala
US_dollar	amarIkI_doYlara
VHS_machine	vIecaesa_maSIna
V_node	vI_parva
V_operation	vI_pracAlana
WAIS_manager	vEsa_voYyasa_prabanXaka
X_chromosome	Eksa-kromosoma
X_windows_system	eksa_viMdoja_wanwra
Y_chromosome	vAI-kromosoma
