#	/Amidst/Bilberry/Fine,/I/It/It/Kaladhungi/On/Ratna/The
###########################################################################################################	The
#-----------	The
#------------------	The
#-------------------	The
#==================	The
#===================	The
#A	descendant
#All	salesmen/the
#As	a/the
#Besides,	Aptech,
#But	do/this/when/you
#By	Alpana/Anita/Krithika/Nandini/Preeti/Sarita/drinking
#Chew	the
#Children	are
#Discounting	Bills
#Do	not/not
#Drink	plenty
#English-compound-word	Hindi-meaning
#Following	entries
#Fruits	and
#GITMO	was
#He	came
#I	am/want/will
#In	comparison/this,
#India	has
#It	was
#Kalajar	is
#Keep	taking
#Look,	I
#Lord	Caitanya
#New	Entries
#Not	only
#One	does
#Researches	have
#Structure_of_the_file:	have
#Suggested	by/by
#The	citizens/danger/use
#There	are
#Therefore	everybody
#Therefore,	the/the
#This	is/palace
#Unplugging	the
#We	saw
#What	is/is
#When	Arjun/these
#Yes	of
#Yes,	Yes.
#You	keep/keep
#based_on	para_AXAriwa
#powered	wheelchair
#station	master
,_in_short_,	safkRipwa_meM
,_that_is_,	yAne_ki
A_fighting_chance	kArya_kI_saPalawA_kI_WodI_ASA
Acacia_catechu	babUla_prajAwi
Accept_policy	svIkAra_nIwi
Access_index	aBigama_sUcaka
Access_line	aBigama_lAina
Access_matrix	aBigama_AvyUha
Access_method	aBigama_viXi
Access_method_routine	aBigama_viXi_nemakA
Access_mode	aBigama_viXA
Access_name_table	aBigama_nAma_sAraNI
Access_path	aBigama_paWa
Access_privilege	aBigama_viSeRAXikAra
Access_right	aBigama_aXikAra
Access_scan	aBigama_kramavIkRaNa
Access_security	aBigama_surakRA
Access_server	aBigama_parisevaka
Access_structure	aBigama_saMracanA
Access_time	aBigama_kAla
Access_unit	aBigama_ekaka
Account_number	KAwA_safKyA
Account_package	leKA_pEkeja
Acknowledge_frame	aBisvIkAra_Prema
Acoustic_coupler	Xvanika_yugmaka
Acoustic_coupling	Xvanika_yugmana
Acoustic_delay_line	Xvanika_vilamba_lAina
Acoustic_digitizer	Xvanika_afkaka
Acoustic_memory	Xvanika_smqwi
Acoustic_modem	Xvanika_moYdema
Acoustic_signal	Xvanika_safkewa
Acoustic_storage	Xvanika_BaNdAraNa
Act_of_honour	mAnArWa_svIkqwi
Active_data_dictionary	sakriya_AfkadA_koSa
Add_file	yoga_saFcikA
Add_in_program	progrAma_aXiyoga
Add_mode	yoga_viXA
Add_operation	joda
Add_strip	yoja_pattI
Add_time	safkalana_kAla
Addition_attribute	yoja_guNa
Addition_record	yoga_aBileKa
Addition_table	yoga_sAraNI
Address_book	pawA_puswaka
Address_bus	pawA_basa
Address_calculation_sort	pawA_kalana_CANta
Address_code	pawA_kUta
Address_command	pawA_samAxeSa
Address_computation	pawA_aBikalana
Address_constant	pawA_acara
Address_conversion	pawA_rUpAnwaraNa
Address_data	pawA_AfkadA
Address_effective	praBAvI_pawA
Address_field	pawA_kRewra
Address_file	pawA_saFcikA
Address_format	pawA_saMrUpa
Address_free_program	pawA_rahiwa_kramAxeSa
Address_generator	pawA_janaka
Address_interlacing	pawA_anwagraWana
Address_line	pawA_pafkwi
Address_mapping	pawA_prawiciwraNa
Address_mapping_table	pawA_prawiciwraNa_sAraNI
Address_mark	pawA_cihna
Address_mask	pawA_AvaraNa
Address_modification	pawA_Aparivarwana
Address_pointer	pawA_safkewaka
Address_register	pawA_paFjI
Address_resolution	pawA_viGatana
Address_signal	pawA_safkewa
Address_size	pawA_AmApa
Address_space	pawA_sWAna
Address_space_identifier	pawA_sWAna_aBijFApaka
Address_stop	pawA_virAma
Address_strategy_module	pawA_yukwi_moYdayUla
Address_trace	paricaya_anureKa
Address_translation	pawA_anuvAxa
Address_translator	pawA_anuvAxaka
Adjust_text_mode	samAyojya_pATyAMSa_viXA
Advance_interactive_executive	unnawa_anwara_kriyA_kAryapAlaka
Advance_program_to_program_communications	unnawa_progrAmaSaHsaFcAra
Advance_set_up_option	unnawa_vyavasWA_vikalpa
Akhil_Bhartiya_Janwadi_Mahila_Samiti	aKila_BArawIya_janavAxI_mahilA_samiwi
Algorithm_language	elgoriWma_BARA
Algorithm_routine	kalana_viXi_nemakA
Algorithm_theory	elgoriWma_sixXAnwa
All-purpose_computer	sarvoxxeSIya_aBikaliwra
Alma_Mater	jahAz_SikRA_pAI_vaha_saMsWA
Alpha_test	ElPA_parIkRaNa
Alphanumeric_character	akRarAfkIya_samprawIka
Alphanumeric_character_set	akRarAfkIya_samprawIka_samuccaya
Alphanumeric_code	akRarAfkIya_kUta
Alphanumeric_coded_character_set	akRarAfkIya_kuriwa
Alphanumeric_data	akRarAfkIya_AfkadA
Alphanumeric_display_device	akRarAfkIya_praxarSa_yukwi
Alphanumeric_edited_character	akRarAfkIya_sampAxiwa_samprawIka
Alphanumeric_field	akRaraMAkIya_kRewra
Alphanumeric_instruction	akRarAfkIya_anuxeSa
Alphanumeric_keyboard	akRarAfkIya_kuFjI_patala
Alphanumeric_sort	akRarAfkIya_CatAI
Alphanumeric_storage	akRarAfkIya_BaNdAraNa
