#Eng_Wrds	
#Structure_of_the_file	
#This	file
ABO_antibodies	rakwavargIya_roga-prawikAraka
ABO_blood_group_system	e_bI_o_rakwavargIya_praNAlI
ABO_group	e_bI_o_samUha
ABO_system	ebIo_praNAlI
ACE_inhibitor	esa_niReXaka/esa_niroXaka
A_is_one_thing,_B_is_an_other	eka_bAwa_hE_Ora_xUsarI_bAwa
A_level	ucca_swarIya_parIkRA
Abbe_condenser	Ebe_safgrAHI
Abbott_Lawrence_Lowell	Ebata_lOrensa_lovela
Abel_Tasman	ebala_tEjamana
Abelmoschus_moschatus	ebalamOskasa_mOsketasa
Abies_alba	abIja_albA
Abies_amabilis	ebIja_amAbilIja
Abies_balsamea	ebIja_balsAmiyA
Abnaki	EbnAkI
Abney_level	EbnI_sAXanI
Abominable_Snowman	hima_mAnava
Aboriginal_Australian	Axi_oYstreliyAI
Abraham_Lincoln	abrAhama_liMkana
Abraham_Stoker	abrAhama_stokara
Abronia_elliptica	snobala
Abruzzi_e_Molise	abrUjI_emolIje
Abstract_Expressionism	amUrwa_aBivyaFjanAvAxa
Abu_Ali_al-Husain_ibn_Abdallah_ibn_Sina	abU_alI_ala-husEna_ibna_abxallAha_ibna_sInA
Abu_Dhabi	abU_XAbI
Abu_Hafs_al-Masri_Brigades	abU_haPja_ala-mAsarI_paltana
Abu_Nidal_Organization	abU_nixAla_jamAwa
Abu_Sayyaf	abU_sEyAPa
Abukir_Bay	abUkIra_KAdI
Abyssinian_cat	abisIniyAI_billI
Academy_Award	akAxamI_puraskAra
Acadia_National_Park	akediyA_rARtrIya_uxyAna
Acapulco_de_Juarez	akEpulko_da_jvArisa
Acapulco_gold	akEpulko_golda
Acheson_process	Ekisana_prakriyA
Achillea_millefolium	akIliyA_miliPoliyama
Achilles_tendon	kaNdarA_peSI/piMdikA-kaNdarA/snAyujAla
Achmad_Sukarno	ahamaxa_sukarno
Achras_zapota	EkarAsa_japotA
Acinonyx_jubatus	Esinoniksa_jubEtUja
Aconitum_lycoctonum	ekonAitama_lAikOktonama
Active_Template_Library	Ektiva_teMpleta_lAibrarI
Addis_Ababa	Axisa_abAbA
Adeline_Virginia_Stephen_Woolf	edalIna_varjIniyA_stIPana_vUlPa
Adiantum_capillus-veneris	sAmAnya_parNAfga
Adolf_Windaus	adOlPa_vindOsa
Adria_del_Besos	edriyA_dela_besasa
Afghan_hound	aPagAnI_SikArI_kuwwA
African_American	amarikI_kAlA_AxamI
Afro_hairdo	EPro_keSavinyAsa
Agriculture_Department	kqRi_viBAga
Air_Chief_Marshal	eara_cIPa_mArSala
Air_Commodore	eara_komodora/eyara_komodora
Air_Marshal	eara_mArSala
Air_Vice-Marshal	eara_vAisa_mArSala
Al_Aqabah	ala_akAbA
Alaska_cedar	alAskA_xevaxAra
Alauda_arvensis	Barawa
Alcoholics_Anonymous	ajFAwa_maxyavyasanI/alkohaliksa_anOnimasa
Aleurites_moluccana	vArniSa_vqkRa
Alfred_Bernhard_Nobel	AlPreda_barnarda_nobela
Alfred_Lothar_Wegener	alPreda_loWAra_veganara
Alfred_Nobel	AlPreda_nobela
Alfred_North_Whitehead	alPreda_nOrWa_vhAitaheda
Ali_Baba	alI_bAbA
Alisma_plantago-aquatica	jala_kaxalI
Alleghany_plum	jafgalI_plama
Allegheny_plum	jafgalI_plama
Allied_Command_Europe	alAida_kamANda_yUropa
Allium_ascalonicum	CotA_pyAjaa
Allium_cepa_aggregatum	CotA_pyAjaA
Allium_porrum	hare_pyAja_kA_pOXA
Allium_sativum	lahasuna
Allium_tricoccum	eliyama_trAikokama
Allium_ursinum	oYliyama_ursinama
Alma_Mater	apanA_kalja
Ameiurus_Melas	pAuta_maCalI
American_Civil_War	amarIkI_gqha_yuxXa
American_English	amarIkI_BARA
American_Indian	amarIkI_nivAsI
American_Revolution	amarIkI_vixroha
American_War_of_Independence	amarIkI_svawanwrawA_safgrAma
American_cockroach	amarIkI_wilacattA
American_dog_tick	jafgalI_cIcadI/jafgalI_kilanI
American_elk	amarIkI_bArahasiMGA
American_feverfew	jafgalI_kunEna
American_football	amarIkI_Putabala
American_licorice	amarIkI_mulahaTI
American_liquorice	amarIkI_mulahaTI
American_robin	amarIkI_rabina
Amphicarpa_bracteata	EMPikArpA_brEktItA
Amphicarpaea_bracteata	EMPikArapiyA_brEktItA
Anas_penelope	enAsa_penilopa
Anas_platyrhynchos	enAsa_plEtiriMkosa
Andropogon_scoparius	EMdropogOna_skoperiyasa
Anemone_quinquefolia	jafgalI_Enimona
Anguis_fragilis	manxakIta
Angus_Wilson	EMgasa_vilsana
Antarctic_Zone	xakRiNI_XruvIya_praxeSa
