Additional_Resource_Mobilisation	awirikwa_saMsAXana_jutAnA
Agency_for_International_Development	anwarrARtrIya_vikAsa_ejeMsI
Agricultural_Credit_Board	kqrRi_qNa_borda
Agricultural_Economic_Research_Centre	kqRi_ArWika_anusanXAna_keMxra
Agricultural_Finance_Corporation	kqRi_viwwa_nigama
Agricultural_Labourers_Development_Agency	kqRi_Sramika_vikAsa_ejeMsI
Agricultural_Prices_Commission	kqRi_mUlya_Ayoga
Agricultural_Refinance_and_Development_Corporation	kqRi_punarviwwa_Ora_vikAsa_nigama
Agricultural_Service_Centre	kqRi_sevA_keMxra
Agricultural_Stabilization_Fund	kqRi_sWirIkaraNa_niXi
Agricultural_credit_Department	kqRi_qNa_viBAga
Agro_Industries_Corporation	kqRi_uxyoga_nigama
Air_Chief_Marshal	eara_cIPa_mArSala{vAyu_senA_kA_bahuwa_ucca_aXikArI}
Air_Commodore	eara_kOmodora{vAyu_senA_kA_ucca_aXikArI}
Air_Vice_Marshal	eara_vAisa_mArSala{vAyu_senA_kA_ucca_aXikArI}
All_India_Debt_and_Investment_Survey	aKila_BArawIya_qNa_Ora_niveSa_sarvekRaNa
All_India_Export_Advisory_Committee	aKila_BArawIya_niryAwa_parAmarSaxAwrI_samiwi
All_India_Handicrafts_Board	aKila_BArawIya_haswaSilpa_borda
Anual_Action_Plan	vArRika_kArya_yojanA
Asian_African_Legal_Consultative_Committee	eSiyAI_aPrIkI_viviXa_parAmarSaxAwrI_samiwi
Asian_Clearing_Union	eSiyAI_samASoXana_yUniyana
Asian_Development_Bank	eSiyAI_vikAsa_bEMka
Asian_Monetary_Union	eSiyAI_mOxrika_safGa
Asian_Monetary_Unit	eSiyAI_mOxrika_ikAI
Asian_Pacific_Regional_Credit_Association	eSiyAI_Ora_praSAnwa_kRewrIya_qNa_safGa
Asian_Payments_Union	eSiyAI_BugawAna_safGa
Asian_and_Pacific_Regional_Agricultural_Credit_Association	eSiyAI_Ora_praSAnwa_kRewrIya_kqRi_qNa_safGa
