###	Following
#To	ward
#Today	one
101_Days	101_desa
12_O_Clock	12_o_kloka
15th_August	15Wa_agaswa
16_December	16_xisambara
1942_A_Love_Story	1942_e_lava_storI
1947_Earth	1947_arWa
23rd_March_1931_Shaheed	23_mArca_1931_SahIxa
2nd_October_Gandhis_India_Today	2_aktUbara_gAnXIsa_iMdiyA_tude
36_China_Town	36_cAinA_tAUna
3_Days_4_Nights	3_desa_4_nAIta
3_Idiots	3_IdIyatasa
42_Kms	42_kilomItarasa
5_Rifles	5_riPlesa
7.5_Phere	7.5_Pere
7_Days	7_desa
8x10_Tasveer	8_x10_wasvIra
99.9_FM	99.9_EYPa_ema
A.P.J._KALAM	E._pI._je._abxula_kalama
A.R._RAHMAN	E._Ara._rahamAna
A._P._J._Abdul_Kalam	e._pI._je._abxula_kalAma
AAJ_TAK	Aja_waka
ABA_Ghani_Khan_Chowdhury	e._bI._e._GAnI_KAna_coXarI
ABN-AMRO_Bank	e._bI._ena._e._ema._Ara._o._bEMka/ebIena-eemaArao_bEMka
ABV_Indian_Institute_of_Information_Technology_&_Management,_Gwalior	EbIvI_iMdiyana_iMstityUta_oYPa_inaPoYrameSana_tEkanolojI_eMda_mEnejameMta,_gvAliyara
ACET_Amritsar	EIsItI_amqwasara
ADCP_City	edIsIpI_sitI
ADCP_City_II	edIsIpI_sitI_tU
ADCP_City_II_Amreek	edIsIpI_sitI_tU_amarIka
ADCP_City_II_Amreek_Singh	edIsIpI_sitI_tU_amarIka_siMha
ADCP_City_II_Amreek_Singh_Pawar	edIsIpI_sitI_tU_amarIka_siMha_paMvAra
APJ_KALAM	EpIje_abxula_kalama
AR_RAHMAN	EAra_rahamAna
AR_rahman	e_Ara_rahamAna
ASSM_College,_Mukundpur	E_esa_esa_ema_koYleja,_mukunxapura
AS_College	Eesa_koYleja
AS_College_for_Women	Iesa_koYleja_PoYra_vomena
AS_College_of_Education_Kalal_Majra_Village	Eesa_koYleja_oYPa_EjUkeSana_kalAla_mAjarA_vileja
AZ_PLANET	EjI_plAneta
A_K_Antony	e._ke._eMWonI
A_Wednesday	a_vedanasade
Aa_Ab_Laut_Chalen	A_aba_lOta_caleM
Aa_Dekhen_Zara	A_xeKeM_jarA
Aa_Gale_Lag_Ja	A_gale_laga_jA
Aaashiq_Banaya_Aapne	ASika_banAyA_Apane
Aabra_Ka_Daabra	AbarA_kA_dAbarA
Aadmi_Aur_Apsara	AxamI_Ora_apasarA
Aadmi_Khilona_Hai	AxamI_KilOnA_hE
Aadmi_Sadak_Ka	AxamI_sadaka_kA
Aadmin_Aur_Insaan	AxamIM_Ora_iMsAna
Aag_Aur_Shola	Aga_Ora_SolA
Aag_Hi_Aag	Aga_hI_Aga
Aag_Ka_Dariya	Aga_kA_xariyA
Aag_Ka_Gola	Aga_kA_golA
Aag_Ka_Toofan	Aga_kA_wUPAna
Aage_Ki_Soch	Age_kI_soca
Aagey_Se_Right	Age_se_rAIta
Aaj_Ka_Arjun	Aja_kA_arjuna
Aaj_Ka_Arjun_And_Kishen_Kanhaiya	Aja_kA_arjuna_eMda_kiSana_kanhEyA
Aaj_Ka_Goonda_Raaj	Aja_kA_gUNdA_rAja
Aaj_Ke_Angaarey	Aja_ke_afgAre
Aaj_Ki_Awaaz	Aja_kI_AvAja
Aaja_Meri_Jaan	AjA_merI_jAna
Aaja_Nachle	AjA_nacale
Aajaa_Sanam	AjA_sanama
Aakarshan_College_of_Education_Dina_Nagar	AkarRaNa_koYleja_oYPa_xukawiona_xInA_nagara
Aakhari_Decision	AKarI_dIsisana
Aakhir_Kyon	AKira_kyoM
Aakhree_Raasta	AKarI_rAswA
Aakhri_Adaalat	AKarI_axAlawa
Aakhri_Daku	AKarI_dAkU
Aakhri_Dao	AKarI_xo
Aakhri_Goli	AKarI_golI
Aakhri_Khat	AKarI_Kawa
Aamdani_Atthanni_Kharcha_Rpaiya	AmaxanI_atTannI_KarcA_rupayA
Aamir_khan	Amira_KAna
Aamir_ludhianvi	samIra_luXiyAnavI
Aamne_Saamne	Amane_sAmane
Aan_Aur_Shaan	Ana_Ora_SAna
Aan_Baan	Ana_bAna
Aan_Men_At_Work	Ana_mena_Eta_varka
Aan_Milo_Sajna	Ana_milo_sajanA
Aanchal_Tera_Dhalka_Hua	Azcala_werA_DalakA_huA
Aandhi_Toofan	AnXI_wUPAna
Aangan_Ki_Kali	Azgana_kI_kali
Aankhon_Mein_Tum_Ho	AzKoM_meM_wuma_ho
Aansoo_Aur_Muskan	AMsU_Ora_muskAna
Aansoo_Ban_Gaye_Phool	AMsU_bana_gae_PUla
Aao_Pyar_Karen	Ao_pyAra_kareM
Aao_Wish_Karein	Ao_viSa_kareM
Aap_Aye_Bahar_Aayi	Apa_Aye_bahAra_AI
Aap_Kaa_Surroor_The_Movie_Vol_1	Apa_kA_surUra
Aap_Ke_Deewane	Apa_ke_xIvAne
Aap_Ke_Sath	Apa_ke_sAWa
Aap_Ki_Kasam	Apa_kI_kasama
Aap_Ki_Khatir	Apa_kI_KAwira
Aap_Ki_Parchhaiyan	Apa_kI_paraCAIyA
Aap_Ki_Yaaden	Apa_kI_yAxeM
Aap_Ko_Pehle_Bhi_Kahin_Dekha_Hai	Apa_ko_pahale_BI_kahIM_xeKA_hE
Aap_Mujhe_Achche_Lagne_Lage	Apa_muJe_acCe_lagane_lage
Aap_To_Aise_Na_The	Apa_wo_Ese_na_We
Aapas_Ki_Baat	Apasa_kI_bAwa
Aapke_Sath	Apake_sAWa
Aar_Paar	Ara_pAra
Aar_Ya_Paar	Ara_yA_pAra
Aas_Ka_Panchhi	Asa_kA_paFCI
Aas_Paas	Asa_pAsa
Aashik_Awara	ASika_AvArA
Aashiq_Hoon_Baharon_Ka	ASika_hUz_bahAroM_kA
Aashique_Mastane	ASika_maswAne
Aashish_vidyarthi	ASIRa_vixyArWI
Aashka_goradiah	ASakA_goradiyA
Aashutosh_rana	ASuwoRa_rANA
Aasman_Se_Ooncha	AsamAna_se_UFcA
Aasra_Pyaar_Da	AsarA_pyAra_xA
Aaya_Sawan_Jhoom_Ke	AyA_sAvana_JUma_ke
Aaye_Din_Bahaar_Ke	Aye_xina_bahAra_ke
Aayee_Milan_Ki_Raat	AI_milana_kI_rAwa
Aayi_Milan_Ki_Bela	AI_milana_kI_belA
Ab_Dilli_Door_Nahin	aba_xillI_xUra_nahIM
Ab_Ke_Baras	aba_ke_barasa
Ab_Kya_Hoga	aba_kyA_hogA
Ab_Tumhare_Hawale_Watan_Sathiyo	aba_wumhAre_havAle_vawana_sAWiyoM
Abay_deol	aBe_xeola
Abbas_mastana	abbAsa_maswAnA
Abdul_Rehman_Antulay	abxula_rahamAna_anwule
Abhi_Abhi	aBI_aBI
Abhijeet_Choudhary	aBijIwa_cOXarI
Abhijeet_sawant	aBijIwa_sAvanwa
Abida_Begum_Express	AbixA_begama_eksapresa
Abida_pinto	AbixA_piMto
Abishek_bachan	aBiReka_baccana
Abnoor_Polytechnic	abnUra_polIteknIka
Abohar_Polytechnic_College	abohara_polIteknIka_koYleja
Aboriginal_Australian	oYstreliyAyI_AxivAsI
Abu_Dhabi_Commercial_Bank	abU_XAbI_kommersiala_bEMka
Abu_road	abU_roda
Acharya_N._G._Ranga_Agricultural_University	AcArya_ena.jI._rafgA_egrIkalacurala_yunivarsitI/AcArya_ena_jI_rafgA_egrIkalacurala_yunivarsitI
Acharya_N._G._Ranga_Agricultural_Vishvidyalya	AcArya_ena._jI._rafgA_egrIkalacurala_viSvavixyAlaya/AcArya_ena_jI_rafgA_egrIkalacurala_viSvavixyAlaya
Acharya_Nagarjuna_University	AcArya_nAgArjuna_yunivarsitI
Acharya_Nagarjuna_Vishvidyalya	AcArya_nAgArjuna_viSvavixyAlaya
Acid_Factory	Esida_PEktrI
Ada.._A_Way_of_Life	axA..e_ve_oYPa_lAiPa
Addi_Tappaa	addI_tappA
Adesh_College_of_Pharmacy	AxeSa_koYleja_oYPa_PAramEsI
Adesh_College_of_Physiotherapy	AxeSa_koYleja_oYPa_PysiyoWerapI
Adesh_Hospital_&_Research_Centre_Pvt._Ltd.,_College_of_Nursing	AxeSa_hospItala_eMda_risarca_seMtara_prAiveta_limiteda_koYleja_oYPa_nursiMga
Adesh_Institute_of_Dental_Sciences_&_Research	AxeSa_iMstityUta_oYPa_deMtala_sAIsasa_eMda_risarca
Adesh_Institute_of_Engineering_and_Technology	AxeSa_iMstityUta_oYPa_iMjIniriMga_eMda_tEkanolojI
Adesh_Institute_of_Medical_Sciences,_College_of_Physiotherapy	AxeSa_iMstityUta_oYPa_medikala_sAIsasa,_koYleja_oYPa_PysiyoWerapI
Adesh_Polytechnic	AxeSa_polIteknIka
Adhoora_Aadmi	aXUrA_AxamI
Adikavi_Nannaya_University,_Rajamundry	axikavI_nannAyA_yunivarsitI
Adikavi_Nannaya_Vishvidyalya,_Rajamundry	axikavI_nannAyA_viSvavixyAlaya
Aditi_goswami	axiwi_gosvAmI
Aditya_pancholi	Axiwya_paFcolI
Afghan_hound	laMmbe_bAlo_vAlA_kuwwA
African_chameleon	aPrIkI_giragita
African_elephant	aPrIkI_hAWI
Afsana_Dilwalon_Ka	aPasAnA_xilavAloM_kA
Afsana_Pyar_Ka	aPasAnA_pyAra_kA
Aftab_shivdesani	APawAba_SivaxesAnI
Agar_Tum_Na_Hote	agara_wuma_na_howe
Aghanashini_river	aGAnASinI_naxI
Agni_Sakshi	agni_sAkRI
Agni_Varsha	agni_varRA
Agniveena_Express	agnivINA_eksapresa
Agra_	AgarA
Agricultural_Land	egrIkalcarala_lEMda
Ahar_river	AhAra_naxI
Ahilyanagari_Express	ahilyAnAgarI_eksapresa
Ahimsa_Express	ahiMsA_eksapresa
Ahista_Ahista	ahiswA_ahiswA
Ahmadpur_East	ahamaxapura
Ahmed_Nager_Chatha	ahamaxa_nAgera
