acid	esida
addiction	adikSana
almond	Alamanda/AlamaNda
antiseptic	eMtIsEptika
basic	besika
bean	bIna
beans	bIMsa
beating	bItiMga
beauty	byUtI
berry	berI
bilberry	bilabErI
blackberry	blEkabErI
black	blEka
body	boYdI
borax	boreksa
boric	borika
boxing	boYksiMga
brain	brena		
breakfast	brekaPAsta
bypass	bAipAsa
calcium	kElSiyama
calendula	kEleMdulA
camphor	kEMPara
cardiovascular	kArdiyovAskyulara
carotene	kerotina
chemotherapy	kImoWerapI
cholesterol	kolestroYla
cold	kolda
compressor	kampresara
conditioner	kaNdISanara
constipation	koYnsatipeSana
contact	kANtEkta
corneal	koYrniyala
cortisol	kortisAla
cylindrical	siliMdarikala
daily	dElI/delI
diet	dAita
digestive	dAijestiva
disease	disIja
doctor	doYktara
egg	ega
enema	enimA
enzyme	eMjAima
exercise	eksarasAija
extra	ekstrA
family	PEmilI
folic	Polika
food	PUda
french	PreMca
fresh	PreSa
fruit	PrUta
fruits	PrUtsa
gallic	gElika
gastro	gEstro
genetic	jenetika
ginger	jiMjara
gland	glEMda
glaucoma	glUkomA
health	helWa
healthy	helxI
heart	hArta
hemisphere	hemIsPIyara
high	hAi/hAI
homeopathy	homyopEWI
hormonal	hoYrmonala
hot	hoYta
hyper	hAipara
iodide	AyodAida
juice	jUsa
lactate	lEkteta
lactose	lEktoja
laparoscopic	lEparoskopika
learner	larnara
legionnaire	lejiyoneyara
lens	lEnsa
leukemia	lyUkImiyA
liver	livara
maltose	mAltoja
mineral	minarala
morphine	mOrPIna
motorcycle	motarasAikila
mucous	myUkasa
natural	necurala
olive	oYliva
original	orijanala
oxygen	oYksIjana
panoramic	pEnoremika
pectin	pektina
peppermint	piparameMta
petti	pettI
phosphorous	PoYsPorasa/PoYsPArasa
pitta	piwwa
popcorn	poYpakoYrna
potash	potASa
private	prAIveta
proper	propara/proYpara
psychiatrist	sAyakiyAtrista
pulmonary	palmonarI
rheumatic	rayUmetika
rheumatoid	rUmEtAida
risk	riska
routine	rutIna
serotonin	serotonina
sexual	sekSuala
shortcut	SoYrtakata
silver	silvara
sims	simsa
sinusitis	sAinusAitisa
skin	skina
smoking	smokiMga
squash	skvESa/skvoaSa
stepper	stepara
strict	strikta
surgery	sarjarI
swedish	svIdiSa
synthetic	siMWetika
tasty	testI
tea	tI
test	testa
tetanus	tetanasa
there	xera
thoracic	Woresika
thyroid	WoYyarAyada/WAiroYyada
toffee	toYPI
tonsil	toYnsila
toothpick	tUWapika
tropical	troYpikala
uric	yUrika
vegetables	vejitebalsa/vejItebalsa
viral	vAyarala
visual	vijuala
oil	oYyala
control	kaNtrola
warning	vArniMga
jogging	joYgiMga
soft	soYPta
sports	sportsa
oxidants	oYksIdeMtsa
physical	Pijikala
